name year month day tmin tmax
HSD_AT_103820 1951 12 28 2.1 1.7
HSD_AT_103895 2025 2 26 4.2 4.1
HSD_AT_104000 2025 1 7 4.2 4
HSD_AT_104000 2025 2 26 4.6 4.4
HSD_AT_104018 2025 1 7 4.2 4
HSD_AT_104018 2025 2 26 4.8 4.6
HSD_AT_104174 1959 8 13 12.1 11.9
HSD_AT_104356 1957 12 17 -1.5 -1.8
HSD_AT_104356 2024 1 6 2.9 2.8
HSD_AT_104356 2024 1 7 1.9 1.8
HSD_AT_105254 1950 12 9 1 0.6
HSD_AT_105254 1951 12 11 0.3 -0.2
HSD_AT_105254 1952 11 10 -0.5 -0.6
HSD_AT_105254 1952 11 14 -2.9 -3.1
HSD_AT_105254 1953 12 24 0.4 0.3
HSD_AT_105254 2024 2 10 5.5 5.4
HSD_AT_105908 1953 12 21 -0.9 -1.1
HSD_AT_105940 1953 12 21 -0.9 -1
HSD_AT_106690 1958 2 7 -1.8 -1.9
HSD_AT_106690 1958 3 3 -0.4 -0.8
HSD_AT_106690 1959 7 16 12.9 12.7
HSD_AT_106690 1959 8 13 13.6 13
HSD_AT_106690 1963 4 2 0.6 0.4
HSD_AT_106690 1966 4 29 9.3 8.8
HSD_AT_110163 1953 12 21 -1.5 -1.7
HSD_AT_110189 2025 1 7 2.9 2.8
HSD_AT_110791 1960 3 12 -0.3 -0.8
HSD_AT_110791 1982 1 1 1.8 1.4
HSD_AT_110791 2002 2 16 -1.5 -1.6
HSD_AT_111641 1953 12 21 -0.5 -1.2
HSD_AT_111641 1956 1 31 -10.4 -10.5
HSD_AT_111641 1978 11 27 -1.5 -2
HSD_AT_113043 1975 1 19 1.1 0.8
HSD_AT_113043 1983 1 17 0.2 0.1
HSD_AT_113043 1983 11 28 0.4 0.2
HSD_AT_113050 1975 1 19 2.9 2.6
HSD_AT_113050 1979 1 29 1.9 1.4
HSD_AT_113084 1983 12 22 1.2 1.1
HSD_AT_113175 1983 12 22 1.2 0.6
HSD_AT_113464 1973 9 26 7.4 7.2
HSD_AT_113464 1999 1 11 -2.3 -2.9
HSD_AT_113464 2007 1 23 -0.8 -0.9
HSD_AT_113555 1954 12 13 1.1 1
HSD_AT_113555 1956 1 31 -8.1 -8.2
HSD_AT_113555 1987 12 1 1.4 1.3
HSD_AT_113555 2025 12 25 -0.8 -1
HSD_AT_113563 1954 12 13 1 0.9
HSD_AT_113563 2025 12 25 -1 -1.2
HSD_AT_113589 1975 1 19 1.3 1.1
HSD_AT_113597 1978 1 13 2.2 1.9
HSD_AT_113597 1979 1 29 2.3 1.8
HSD_AT_113597 1983 12 22 1.1 0.8
HSD_AT_113597 1987 2 13 2.1 1.9
HSD_AT_113787 1952 2 14 -5 -5.1
HSD_AT_113787 1956 1 31 -8.6 -9.1
HSD_AT_113787 1960 9 29 7.2 7
HSD_AT_113787 1978 11 28 -3.9 -4
HSD_AT_113787 1987 2 17 0.1 -0.9
HSD_AT_113787 1987 12 1 1 0.6
HSD_AT_113787 1990 2 12 -0.3 -1.2
HSD_AT_113787 1990 3 27 0.2 -0.2
HSD_AT_113787 1993 3 2 -1.9 -2.5
HSD_AT_113787 1998 1 23 0.8 0.7
HSD_AT_113787 2002 2 16 -1 -1.6
HSD_AT_113787 2004 2 21 -2.2 -2.5
HSD_AT_113787 2004 3 24 0 -0.5
HSD_AT_113787 2005 1 26 -3.2 -4.4
HSD_AT_113787 2006 1 7 -0.1 -1
HSD_AT_113787 2006 1 8 -1.6 -1.7
HSD_AT_113787 2008 2 3 0 -0.4
HSD_AT_113803 1953 12 17 -0.8 -1
HSD_AT_113803 1975 12 17 1.2 1.1
HSD_AT_113803 1987 12 1 1.1 0.6
HSD_AT_113837 1952 2 14 -5.5 -5.7
HSD_AT_113837 1956 1 31 -9.1 -9.4
HSD_AT_113837 1960 9 29 6.7 6.5
HSD_AT_113837 1987 2 17 -0.3 -1.2
HSD_AT_113837 1990 2 12 -1.2 -1.6
HSD_AT_113837 1993 3 2 -2.8 -3.1
HSD_AT_113837 2005 1 26 -4.2 -4.7
HSD_AT_113837 2008 2 3 -0.6 -0.7
HSD_AT_113894 1956 1 31 -8.6 -8.9
HSD_AT_113894 1987 12 1 1.1 0.5
HSD_AT_114025 1956 1 31 -8.3 -9.4
HSD_AT_114066 1956 1 31 -8.4 -9.5
HSD_AT_114124 1987 12 1 1.1 1
HSD_AT_114165 1956 1 31 -9 -10.5
HSD_AT_114165 1958 2 19 -5.5 -5.9
HSD_AT_114165 1978 11 27 -0.7 -1.2
HSD_AT_114165 1978 11 28 -4.2 -4.4
HSD_AT_114165 1987 12 1 0.8 0
HSD_AT_114165 1995 3 4 -1.3 -1.7
HSD_AT_114165 1997 1 6 -0.2 -1.2
HSD_AT_114165 1997 1 7 -1 -1.3
HSD_AT_114165 1997 1 8 -1.1 -1.6
HSD_AT_114165 1997 1 9 -1.8 -2.1
HSD_AT_114165 2002 2 16 -1.7 -2.7
HSD_AT_114165 2004 3 24 -0.7 -0.8
HSD_AT_114165 2005 10 5 10.8 10.4
HSD_AT_114165 2006 2 23 0.2 -0.8
HSD_AT_114165 2006 2 25 -1 -1.5
HSD_AT_114165 2007 3 20 -2 -2.1
HSD_AT_114165 2010 1 11 -0.2 -0.5
HSD_AT_114165 2010 1 14 -3 -3.1
HSD_AT_114165 2010 1 16 -2.5 -3
HSD_AT_114165 2010 1 25 -6 -6.3
HSD_AT_114165 2011 2 15 -0.5 -0.7
HSD_AT_114165 2013 12 31 1 0.8
HSD_AT_114165 2014 2 1 0.2 -1.1
HSD_AT_114165 2014 2 2 -0.5 -1.1
