name lon lat ele num
HSD_FR_METEOFRANCE_Estenc 6.75183333333333 44.2368333333333 1850 6
HSD_FR_METEOFRANCE_Flaine 6.69166666666667 46.0021666666667 1620 17
HSD_FR_METEOFRANCE_Font_d_urle 5.334 44.9043333333333 1425 239
HSD_FR_METEOFRANCE_Freissinieres 6.502 44.7423333333333 1320 3
HSD_FR_METEOFRANCE_Frejus 6.73616666666667 43.4208333333333 7 2
HSD_FR_METEOFRANCE_Galibier_nivose 6.377167 45.056833 2559 285
HSD_FR_METEOFRANCE_Gap_bayard 6.084 44.6195 1240 6
HSD_FR_METEOFRANCE_Gets_les_ 6.670333 46.158667 1172 1
HSD_FR_METEOFRANCE_Glandage_sapc 5.60933333333333 44.6713333333333 1000 1
HSD_FR_METEOFRANCE_Grand_bornand 6.44016666666667 45.9688333333333 1300 18
HSD_FR_METEOFRANCE_Grande_chartreuse 5.791833 45.363333 945 3
HSD_FR_METEOFRANCE_Grande_parei_nivose 6.6475 45.614667 2260 76
HSD_FR_METEOFRANCE_Grenoble_st_geoirs 5.313333 45.364 384 6
HSD_FR_METEOFRANCE_Greolieres 6.96666666666667 43.8333333333333 1380 165
HSD_FR_METEOFRANCE_Hauteluce 6.63666666666667 45.77 1215 7
HSD_FR_METEOFRANCE_Isola 7.149064 44.18941 1912 14
HSD_FR_METEOFRANCE_Isola_2000 7.149 44.1895 1912 18
HSD_FR_METEOFRANCE_Jarrier 6.30516666666667 45.2743333333333 1200 8
HSD_FR_METEOFRANCE_L_alpe_d_huez_2350 6.1 45.1 2350 325
HSD_FR_METEOFRANCE_L_alpe_d_huez_2700 6.1 45.1 2700 615
HSD_FR_METEOFRANCE_L_alpe_d_huez_sata_ 6.07033333333333 45.092 1860 72
HSD_FR_METEOFRANCE_L_alpe_d_huez_sata_1860 6.05 45.0746666666667 1850 55
HSD_FR_METEOFRANCE_L_alpe_du_grand_serre 5.8575 45.0191666666667 1382 42
HSD_FR_METEOFRANCE_La_berarde 6.2885 44.9263333333333 1738 35
HSD_FR_METEOFRANCE_La_clusaz 6.44066666666667 45.8895 1597 88
HSD_FR_METEOFRANCE_La_flegere 6.88683333333333 45.9575 1850 4
HSD_FR_METEOFRANCE_La_foux_d_allos 6.557 44.2871666666667 1900 450
HSD_FR_METEOFRANCE_La_giettaz 6.52133333333333 45.874 1210 2
HSD_FR_METEOFRANCE_La_lechere 6.507 45.554 1340 5
HSD_FR_METEOFRANCE_La_norma 6.69266666666667 45.1865 1960 53
HSD_FR_METEOFRANCE_La_plagne 6.66966666666667 45.503 1970 41
HSD_FR_METEOFRANCE_La_rosiere 6.84233333333333 45.6245 1867 6
HSD_FR_METEOFRANCE_La_salette_38469001 5.97366666666667 44.856 1770 194
HSD_FR_METEOFRANCE_La_salette_38469400 5.97466666666667 44.85 1770 94
HSD_FR_METEOFRANCE_Lans_en_vercors 5.6055 45.1068333333333 1400 125
HSD_FR_METEOFRANCE_Lanslebourg_mt 6.944667 45.2235 2000 18
HSD_FR_METEOFRANCE_Le_chevril_nivose 6.956 45.5 2560 12
HSD_FR_METEOFRANCE_Le_collet_d_allevard_38006400 6.121 45.387 1642 117
HSD_FR_METEOFRANCE_Le_collet_d_allevard_38006402 6.1 45.3746666666667 1650 78
HSD_FR_METEOFRANCE_Le_corbier 6.26666666666667 45.2393333333333 1585 37
HSD_FR_METEOFRANCE_Le_dramont 6.85166666666667 43.4086666666667 124 7
HSD_FR_METEOFRANCE_Le_grand_bornand_74136005 6.471833 45.973333 1430 32
