name year mark los_MOD los_STA ele
IT_TN_Pejo_tarlenta 2017 OK 41 145 1985
IT_TN_Pejo_tarlenta 2019 OK 47 175 1985
IT_TN_Pozza_di_fassa 2002 NO 28 90 1385
IT_TN_Pozza_di_fassa 2003 NO 56 131 1385
IT_TN_Pozza_di_fassa 2008 NO 69 147 1385
IT_TN_Pozza_di_fassa 2017 NO 33 87 1385
IT_TN_Pozza_di_fassa 2019 NO 66 150 1385
IT_TN_Predazzo_gardone 2002 OK 32 90 1675
IT_TN_Predazzo_gardone 2003 OK 60 138 1675
IT_TN_Predazzo_gardone 2005 OK 61 142 1675
IT_TN_Predazzo_gardone 2007 OK 63 127 1675
IT_TN_Predazzo_gardone 2015 OK 68 143 1675
IT_TN_Predazzo_gardone 2017 OK 13 91 1675
IT_TN_Predazzo_gardone 2019 OK 60 155 1675
IT_TN_Rabbi 2002 OK 25 70 1335
IT_TN_Rabbi 2003 OK 50 104 1335
IT_TN_Rabbi 2007 OK 43 92 1335
IT_TN_Rabbi 2008 OK 45 91 1335
IT_TN_Rabbi 2015 OK 37 84 1335
IT_TN_Rabbi 2019 OK 26 73 1335
IT_TN_Rumo 2001 OK 40 95 1100
IT_TN_Rumo 2002 OK 6 77 1100
IT_TN_Rumo 2003 OK 18 104 1100
IT_TN_Rumo 2005 OK 37 124 1100
IT_TN_Rumo 2007 OK 9 97 1100
IT_TN_Rumo 2008 OK 35 97 1100
IT_TN_Rumo 2012 OK 32 86 1100
IT_TN_Rumo 2015 OK 16 81 1100
IT_TN_Rumo 2016 OK 26 56 1100
IT_TN_Rumo 2019 OK 18 62 1100
IT_TN_San_martino_di_castrozza 2002 OK 36 74 1465
IT_TN_San_martino_di_castrozza 2012 OK 49 136 1465
IT_TN_San_martino_di_castrozza 2016 OK 47 102 1465
IT_TN_San_martino_di_castrozza 2017 OK 37 82 1465
IT_TN_Val_noana_diga 2002 OK 22 101 1020
IT_TN_Val_noana_diga 2005 OK 45 132 1020
IT_TN_Val_noana_diga 2007 OK 16 84 1020
IT_TN_Val_noana_diga 2008 OK 51 111 1020
IT_TN_Val_noana_diga 2012 OK 31 81 1020
IT_TN_Val_noana_diga 2015 OK 39 83 1020
IT_TN_Val_noana_diga 2018 OK 62 127 1020
IT_TN_Val_noana_diga 2019 OK 26 68 1020
IT_TN_Vallarsa_pian_fugazze 2001 OK 30 137 1170
IT_TN_Vallarsa_pian_fugazze 2002 OK 28 134 1170
IT_TN_Vallarsa_pian_fugazze 2003 OK 28 132 1170
IT_TN_Vallarsa_pian_fugazze 2005 OK 49 156 1170
IT_TN_Vallarsa_pian_fugazze 2007 OK 15 122 1170
IT_TN_Vallarsa_pian_fugazze 2008 OK 39 157 1170
IT_TN_Vallarsa_pian_fugazze 2012 OK 16 118 1170
IT_TN_Vallarsa_pian_fugazze 2014 OK 51 141 1170
IT_TN_Vallarsa_pian_fugazze 2015 OK 43 134 1170
IT_TN_Vallarsa_pian_fugazze 2016 OK 46 107 1170
IT_TN_Vallarsa_pian_fugazze 2017 OK 14 76 1170
IT_TN_Vallarsa_pian_fugazze 2018 OK 54 144 1170
IT_TN_Vallarsa_pian_fugazze 2019 OK 20 118 1170
IT_TN_Vigo_di_fassa_ciampedie 2002 OK 23 161 1975
IT_TN_Vigo_di_fassa_ciampedie 2003 OK 38 154 1975
IT_TN_Vigo_di_fassa_ciampedie 2005 OK 62 154 1975
IT_TN_Vigo_di_fassa_ciampedie 2007 OK 40 137 1975
IT_TN_Vigo_di_fassa_ciampedie 2008 OK 29 150 1975
IT_TN_Vigo_di_fassa_ciampedie 2012 OK 59 127 1975
IT_TN_Vigo_di_fassa_ciampedie 2015 OK 41 138 1975
IT_TN_Vigo_di_fassa_ciampedie 2017 OK 13 106 1975
IT_TN_Vigo_di_fassa_ciampedie 2019 OK 40 133 1975
IT_TN_Villa_welsperg 2002 OK 27 92 1040
IT_VDA_CF_Aymavilles_Vieyes 2002 NO 14 88 1130
IT_VDA_CF_Aymavilles_Vieyes 2003 NO 34 103 1130
IT_VDA_CF_Aymavilles_Vieyes 2005 NO 29 99 1130
IT_VDA_CF_Courmayeur_Dolonne 2002 OK 24 89 1200
IT_VDA_CF_Courmayeur_Dolonne 2007 OK 46 93 1200
IT_VDA_CF_Gressoney_La_Trinite_Eselbode 2002 OK 60 152 1642
IT_VDA_CF_Gressoney_La_Trinite_Eselbode 2019 OK 77 179 1642
IT_VDA_CF_Rhemes_Saint_Georges_Voix 2002 NO 35 118 1200
