names	lon	lat	start	end
HSD_IT_BZ_Corona_Cortaccia_Osservatore	11.206752	46.32075	2001	2018
HSD_IT_BZ_Costalovara_Osservatore	11.429301	46.52749	1989	2017
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore	10.725072	46.50906	1980	2019
HSD_IT_BZ_Diga_di_Neves_Osservatore	11.787089	46.94142	1980	2019
HSD_IT_BZ_Diga_di_Quaira_Osservatore	10.893764	46.55203	1980	1990
HSD_IT_BZ_Diga_di_Valdaora_Osservatore	12.053657	46.75974	1980	2019
HSD_IT_BZ_Diga_di_Vizze_Osservatore	11.524672	46.92499	1980	2019
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore	10.988362	46.54187	1980	2019
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore	11.505966	46.51315	1988	2019
HSD_IT_BZ_Fleres_Osservatore	11.347034	46.96521	1984	2012
HSD_IT_BZ_Fortezza_Osservatore	11.632246	46.7783	1980	2019
HSD_IT_BZ_Fundres_Osservatore	11.705099	46.88647	1980	2019
HSD_IT_BZ_La_Villa_in_Badia_Osservatore	11.907076	46.58363	1987	2019
HSD_IT_BZ_Lago_Verde_Osservatore	10.799401	46.48233	1980	2019
HSD_IT_BZ_Lazfons_Osservatore	11.546139	46.6724	1980	2019
HSD_IT_BZ_Longiaru_Osservatore	11.860878	46.63934	1983	2019
HSD_IT_BZ_Maia_Alta_Osservatore	11.183234	46.65782	1985	2019
HSD_IT_BZ_Mazia_Osservatore	10.617526	46.69432	1980	2019
HSD_IT_BZ_Melago_Osservatore	10.656582	46.83743	1989	2019
HSD_IT_BZ_Molini_di_Tures_Osservatore	11.941568	46.89782	1980	2019
HSD_IT_BZ_Monte_Maria_Osservatore	10.520996	46.70625	1980	2011
HSD_IT_BZ_Nova_Levante_Osservatore	11.537399	46.43058	1984	2017
HSD_IT_BZ_Nova_Ponente_Maso_di_sopra_Osservatore	11.412535	46.41913	1992	2018
HSD_IT_BZ_Ora_Osservatore	11.305017	46.34689	2006	2019
HSD_IT_BZ_Pennes_Osservatore	11.426887	46.78149	1981	2019
HSD_IT_BZ_Plata_Osservatore	11.176968	46.82285	1980	2019
HSD_IT_BZ_Prato_allo_Stelvio_Osservatore	10.597153	46.62478	2001	2019
HSD_IT_BZ_Racines_di_Dentro_Osservatore	11.317197	46.86603	1983	2019
HSD_IT_BZ_Redagno_Osservatore	11.398249	46.34736	1982	2019
HSD_IT_BZ_Ridanna_Osservatore	11.299491	46.91074	1980	2013
HSD_IT_BZ_Rifiano_Beobachter	11.183607	46.70503	2003	2019
