station year duration start flag
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2006 38 86 NO
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2007 6 144 NO
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2008 36 128 NO
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2009 25 93 NO
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2010 30 153 NO
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2011 22 93 NO
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2012 8 103 NO
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2001 11 118 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2002 0 NA OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2003 0 NA OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2004 36 121 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2005 6 119 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2006 17 87 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2007 7 142 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2008 2 35 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2009 22 92 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2010 26 114 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2011 15 81 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2012 20 122 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2013 12 176 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2014 8 163 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2015 2 152 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2016 6 124 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2017 2 66 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2018 16 118 OK
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2019 14 154 OK
HSD_IT_BZ_Fontana_Bianca 2001 190 60 REV
HSD_IT_BZ_Fontana_Bianca 2002 53 160 REV
HSD_IT_BZ_Fontana_Bianca 2003 102 118 REV
HSD_IT_BZ_Fontana_Bianca 2004 209 52 REV
HSD_IT_BZ_Fontana_Bianca 2005 114 86 REV
HSD_IT_BZ_Fontana_Bianca 2006 159 85 REV
HSD_IT_BZ_Fontana_Bianca 2007 32 98 REV
HSD_IT_BZ_Fontana_Bianca 2008 80 103 REV
HSD_IT_BZ_Fontana_Bianca 2009 187 72 REV
HSD_IT_BZ_Fontana_Bianca 2010 157 84 REV
HSD_IT_BZ_Fontana_Bianca 2011 174 47 REV
HSD_IT_BZ_Fontana_Bianca 2012 37 142 REV
HSD_IT_BZ_Fontana_Bianca 2013 89 158 REV
HSD_IT_BZ_Fontana_Bianca 2014 113 116 REV
HSD_IT_BZ_Fontana_Bianca 2015 97 137 REV
HSD_IT_BZ_Fontana_Bianca 2016 68 153 REV
HSD_IT_BZ_Fontana_Bianca 2017 51 156 REV
HSD_IT_BZ_Fontana_Bianca 2018 154 102 REV
HSD_IT_BZ_Fortezza_Osservatore 2001 6 39 OK
HSD_IT_BZ_Fortezza_Osservatore 2002 0 NA OK
HSD_IT_BZ_Fortezza_Osservatore 2003 3 86 OK
HSD_IT_BZ_Fortezza_Osservatore 2004 6 148 OK
HSD_IT_BZ_Fortezza_Osservatore 2005 0 NA OK
HSD_IT_BZ_Fortezza_Osservatore 2006 9 87 OK
HSD_IT_BZ_Fortezza_Osservatore 2007 1 104 OK
HSD_IT_BZ_Fortezza_Osservatore 2008 9 122 OK
HSD_IT_BZ_Fortezza_Osservatore 2009 10 143 OK
HSD_IT_BZ_Fortezza_Osservatore 2010 9 120 OK
HSD_IT_BZ_Fortezza_Osservatore 2011 13 92 OK
HSD_IT_BZ_Fortezza_Osservatore 2012 0 NA OK
HSD_IT_BZ_Fortezza_Osservatore 2013 3 143 OK
HSD_IT_BZ_Fortezza_Osservatore 2014 9 163 OK
HSD_IT_BZ_Fortezza_Osservatore 2015 0 NA OK
HSD_IT_BZ_Fortezza_Osservatore 2016 0 NA OK
HSD_IT_BZ_Fortezza_Osservatore 2017 1 139 OK
HSD_IT_BZ_Fortezza_Osservatore 2018 6 101 OK
HSD_IT_BZ_Fortezza_Osservatore 2019 10 154 OK
HSD_IT_BZ_Fundres_Osservatore 2001 74 118 OK
HSD_IT_BZ_Fundres_Osservatore 2002 5 88 OK
HSD_IT_BZ_Fundres_Osservatore 2003 11 144 OK
HSD_IT_BZ_Fundres_Osservatore 2004 60 111 OK
HSD_IT_BZ_Fundres_Osservatore 2005 49 144 OK
HSD_IT_BZ_Fundres_Osservatore 2006 119 87 OK
HSD_IT_BZ_Fundres_Osservatore 2007 47 141 OK
HSD_IT_BZ_Fundres_Osservatore 2008 42 122 OK
HSD_IT_BZ_Fundres_Osservatore 2009 65 144 OK
HSD_IT_BZ_Fundres_Osservatore 2010 113 89 OK
HSD_IT_BZ_Fundres_Osservatore 2011 56 84 OK
HSD_IT_BZ_Fundres_Osservatore 2012 89 95 OK
HSD_IT_BZ_Fundres_Osservatore 2013 80 135 OK
HSD_IT_BZ_Fundres_Osservatore 2014 79 112 OK
HSD_IT_BZ_Fundres_Osservatore 2015 20 139 OK
HSD_IT_BZ_Fundres_Osservatore 2016 42 158 OK
HSD_IT_BZ_Fundres_Osservatore 2017 15 156 OK
HSD_IT_BZ_Fundres_Osservatore 2018 115 90 OK
HSD_IT_BZ_Fundres_Osservatore 2019 71 128 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2001 96 80 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2002 32 159 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2003 70 110 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2004 154 69 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2005 96 106 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2006 124 86 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2007 46 147 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2008 89 121 OK
