HSD_CH_IYPLI 11.90000 46.56670 2050. 11.90090 46.56757 1820.
HSD_CH_SLFSI2 8.98330 46.46670 2450. 8.98424 46.46757 2423.
HSD_CH_ABO 7.56670 46.50000 1321. 7.56757 46.50090 1387.
HSD_CH_SLFALB 9.83330 46.58330 2322. 9.83424 46.58424 2396.
HSD_CH_SLFAL1 7.00000 46.48330 1716. 7.00090 46.48423 1442.
HSD_CH_SLFAM2 9.15000 47.16670 1610. 9.15090 47.16757 1449.
HSD_CH_SLFAN2 7.53330 46.18330 2630. 7.53424 46.18423 2565.
HSD_CH_SLFAN3 7.65000 46.11670 2590. 7.65090 46.11757 2556.
HSD_CH_SLFVD2 7.36670 46.31670 2390. 7.36757 46.31757 2189.
HSD_CH_SLFAR3 7.56670 46.08330 2610. 7.56757 46.08424 2663.
HSD_CH_SLFAR2 7.45000 46.03330 2850. 7.45090 46.03423 3123.
HSD_CH_SLFBD3 8.51670 46.48330 2100. 8.51757 46.48423 2428.
HSD_CH_SLFBD2 8.51670 46.53330 2420. 8.51757 46.53423 2509.
HSD_CH_SLFBEL 7.96670 46.40000 2556. 7.96757 46.40090 2891.
HSD_CH_SLFBE2 10.03330 46.41670 2450. 10.03424 46.41757 2456.
HSD_CH_SLFBE3 9.91670 46.43330 2620. 9.91757 46.43423 2604.
HSD_CH_SLFBR2 9.83330 46.53330 2510. 9.83424 46.53423 2642.
HSD_CH_BLA 7.81670 46.41670 1538. 7.81757 46.41757 1559.
HSD_CH_SLFBO2 8.46670 46.33330 2310. 8.46757 46.33424 2350.
HSD_CH_SLFTM2 9.01670 46.78330 2195. 9.01757 46.78423 2343.
HSD_CH_SLFRO2 8.00000 46.76670 1870. 8.00090 46.76757 1259.
HSD_CH_FRE 6.58330 46.83330 1205. 6.58424 46.83424 807.
HSD_CH_SLFCA2 8.71670 46.46670 2220. 8.71757 46.46757 2225.
HSD_CH_CHA 7.05000 47.13330 1594. 7.05090 47.13424 1486.
HSD_CH_SLFCH2 7.16670 46.38330 2220. 7.16757 46.38424 2020.
HSD_CH_SLFCSL 7.03330 47.11670 1455. 7.03424 47.11757 1460.
HSD_CH_SLFCON 7.28330 46.28330 2230. 7.28424 46.28423 2082.
HSD_CH_PERCOR 9.81670 46.43330 2666. 9.81757 46.43423 2460.
HSD_CH_SLFCMA 9.18330 46.85000 2330. 9.18424 46.85090 2239.
HSD_CH_DAV 9.85000 46.81670 1594. 9.85090 46.81757 1545.
HSD_CH_SLFDA2 9.81670 46.70000 2560. 9.81757 46.70090 2650.
HSD_CH_SLFDA3 9.76670 46.78330 2450. 9.76757 46.78423 2449.
HSD_CH_SLFPAR 9.80000 46.85000 2290. 9.80090 46.85090 2247.
HSD_CH_SLFSLF 9.85000 46.81670 1560. 9.85090 46.81757 1545.
HSD_CH_SLFWFJ 9.81670 46.83330 2540. 9.81757 46.83424 2379.
HSD_CH_IYDEO 11.55000 46.36670 2125. 11.55090 46.36757 2359.
HSD_CH_DIS 8.85000 46.70000 1197. 8.85090 46.70090 1158.
HSD_CH_SLFLUM 8.86670 46.73330 2388. 8.86757 46.73423 2057.
HSD_CH_SLFDT2 8.86670 46.55000 2060. 8.86757 46.55090 2112.
HSD_CH_SLFEGH 8.08330 46.41670 2495. 8.08424 46.41757 2703.
HSD_CH_SLFEL2 9.71670 46.58330 2725. 9.71757 46.58424 2635.
HSD_CH_SLFEM2 9.13330 46.93330 2050. 9.13424 46.93423 2077.
HSD_CH_ENG 8.41670 46.81670 1035. 8.41757 46.81757 1015.
HSD_CH_DLFEB 8.00000 47.86670 1490. 8.00090 47.86757 1328.
HSD_CH_SLFFN2 6.96670 46.10000 2240. 6.96757 46.10090 2247.
HSD_CH_SLFFLU 9.95000 46.75000 2390. 9.95090 46.75090 2489.
HSD_CH_SLFFRA 8.85000 46.33330 2100. 8.85090 46.33424 2099.
HSD_CH_SLFES2 7.63330 46.53330 2140. 7.63424 46.53423 2028.
HSD_CH_SLFOTT 7.56670 46.53330 2020. 7.56757 46.53423 1904.
HSD_CH_SLFFU2 7.08330 46.20000 2610. 7.08424 46.20090 2690.
HSD_CH_MFOFKP 8.41670 46.58330 2425. 8.41757 46.58424 2614.
HSD_CH_SLFFUS 8.61670 46.43330 2390. 8.61757 46.43423 2465.
HSD_CH_SLFFA2 7.50000 46.51670 1970. 7.50090 46.51757 2011.
HSD_CH_SLFGAD 8.40000 46.75000 2060. 8.40090 46.75090 1667.
HSD_CH_PERGEM 8.61670 46.60000 2865. 8.61757 46.60090 2650.
HSD_CH_SLFGL2 9.03330 47.00000 1630. 9.03424 47.00090 1834.
HSD_CH_SLFGO2 8.23330 46.41670 2450. 8.23424 46.41757 2544.
HSD_CH_SLFGO3 8.23330 46.48330 2430. 8.23424 46.48423 1984.
