name year mark los_MOD los_STA
HSD_IT_FVG_Pradibosco 2007 NO 48 94
HSD_IT_FVG_Pradibosco 2008 NO 41 77
HSD_IT_FVG_Pradibosco 2016 NO 54 72
HSD_IT_FVG_Ravascletto 2003 NO 45 80
HSD_IT_FVG_Ravascletto 2012 NO 32 61
HSD_IT_FVG_Rutte_Piccolo 2008 OK 65 106
HSD_IT_FVG_Rutte_Piccolo 2012 OK 57 82
HSD_IT_FVG_Rutte_Piccolo 2013 OK 103 140
HSD_IT_FVG_Rutte_Piccolo 2015 OK 54 83
HSD_IT_FVG_Rutte_Piccolo 2016 OK 76 121
HSD_IT_FVG_Rutte_Piccolo 2019 OK 59 96
HSD_IT_FVG_Tarvisio 2003 OK 52 84
HSD_IT_FVG_Val_Saisera 2003 NO 70 120
HSD_IT_FVG_Val_Saisera 2008 NO 73 126
HSD_IT_FVG_Val_Saisera 2015 NO 65 100
HSD_IT_FVG_Val_Saisera 2016 NO 82 126
HSD_IT_PIE_AL_BRIC_CASTELLARO 2011 NO 33 46
HSD_IT_PIE_AL_BRIC_CASTELLARO 2013 NO 38 78
HSD_IT_PIE_AL_BRIC_CASTELLARO 2016 NO 5 17
HSD_IT_PIE_AL_BRIC_CASTELLARO 2017 NO 0 17
HSD_IT_PIE_AL_BRIC_CASTELLARO 2018 NO 10 53
HSD_IT_PIE_AL_BRIC_CASTELLARO 2019 NO 12 16
HSD_IT_PIE_AL_BRIC_CASTELLARO 2021 NO 39 57
HSD_IT_PIE_AL_BRIC_CASTELLARO 2022 NO 8 21
HSD_IT_PIE_AL_BRIC_CASTELLARO 2023 NO 8 13
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2003 OK 10 22
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2004 OK 43 70
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2005 OK 27 39
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2006 OK 41 84
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2008 OK 19 54
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2009 OK 70 92
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2011 OK 48 103
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2012 OK 26 45
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2013 OK 65 108
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2014 OK 11 60
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2015 OK 44 68
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2016 OK 19 48
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2017 OK 2 40
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2018 OK 19 79
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2020 OK 17 25
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2022 OK 10 16
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 2023 OK 10 44
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2004 OK 50 74
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2005 OK 40 54
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2007 OK 10 60
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2008 OK 26 120
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2011 OK 49 68
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2013 OK 81 106
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2014 OK 53 70
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2015 OK 46 69
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2016 OK 26 48
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2017 OK 2 15
