name first last
HSD_LOM_VA_VEDDASCA_MONTE_CADRIGNA_32384 2018 2024
HSD_TAA_TN_CANAZEI_CIAMPAC 2020 2024
HSD_TAA_TN_CAORIA 2012 2024
HSD_TAA_TN_CIMA_CAVAION 2019 2024
HSD_TAA_TN_DAONE_MALGA_BISSINA 2003 2024
HSD_TAA_TN_DOS_DEL_SABION_MONTE_GRUAL 2013 2024
HSD_TAA_TN_GRIGNO_BARRICATA 2013 2024
HSD_TAA_TN_LAGO_DI_CALAITA 2012 2024
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2014 2024
HSD_TAA_TN_MARMOLADA_SAS_DEL_MUL 2015 2024
HSD_TAA_TN_MONTE_BONDONE_VIOTE 2001 2024
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2012 2024
HSD_TAA_TN_PAGANELLA_MALGA_TERLAGO 2017 2024
HSD_TAA_TN_PASSO_BROCON 1989 2024
HSD_TAA_TN_PASSO_COSTALUNGA 2013 2024
HSD_TAA_TN_PASSO_MANGHEN 2012 2024
HSD_TAA_TN_PASSO_MENDOLA 2013 2024
HSD_TAA_TN_PASSO_PIAN_DELLE_FUGAZZE 2013 2024
HSD_TAA_TN_PASSO_ROLLE 2012 2024
HSD_TAA_TN_PASSO_SOMMO 2000 2024
HSD_TAA_TN_PASSO_TONALE 1988 2024
HSD_TAA_TN_PASSO_VALLES 2012 2024
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2018 2024
HSD_TAA_TN_PINZOLO 2012 2016
HSD_TAA_TN_PINZOLO_MALGA_ZELEDRIA 2012 2024
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2013 2024
HSD_TAA_TN_ROVERETO_MALGA_ZUGNA 2013 2024
HSD_TAA_TN_RUMO_LANZA 2013 2024
HSD_TAA_TN_SAN_MARTINO_DI_CASTROZZA 2012 2024
HSD_TAA_TN_TONADICO_CASTELPIETRA 2012 2024
HSD_TAA_TN_TREMALZO 1989 2024
HSD_TAA_TN_VAL_DAMBIEZ 2012 2024
HSD_TAA_TN_VAL_GENOVA_MALGA_CARET 2012 2024
HSD_TAA_TN_VAL_NOANA_DIGA 2012 2024
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA 2001 2024
