station year los
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2017 221
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2018 208
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2019 231
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2020 184
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2021 184
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2022 188
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2023 148
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2001 18
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2002 193
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2003 290
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2004 293
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2005 172
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2006 100
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2007 82
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2008 122
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2009 162
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2010 145
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2011 145
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2012 101
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2013 154
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2014 152
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2015 101
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2016 82
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2017 99
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2018 142
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2019 67
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2020 112
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2021 87
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2022 50
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2023 76
HSD_IT_PIE_AL_BRIC_CASTELLARO 2011 46
HSD_IT_PIE_AL_BRIC_CASTELLARO 2012 29
HSD_IT_PIE_AL_BRIC_CASTELLARO 2013 78
HSD_IT_PIE_AL_BRIC_CASTELLARO 2014 24
HSD_IT_PIE_AL_BRIC_CASTELLARO 2015 25
HSD_IT_PIE_AL_BRIC_CASTELLARO 2016 17
HSD_IT_PIE_AL_BRIC_CASTELLARO 2017 17
HSD_IT_PIE_AL_BRIC_CASTELLARO 2018 53
HSD_IT_PIE_AL_BRIC_CASTELLARO 2019 16
HSD_IT_PIE_AL_BRIC_CASTELLARO 2020 6
HSD_IT_PIE_AL_BRIC_CASTELLARO 2021 57
HSD_IT_PIE_AL_BRIC_CASTELLARO 2022 21
HSD_IT_PIE_AL_BRIC_CASTELLARO 2023 13
HSD_IT_PIE_BI_PIEDICAVALLO 1998 71
HSD_IT_PIE_BI_PIEDICAVALLO 1999 81
HSD_IT_PIE_BI_PIEDICAVALLO 2000 105
HSD_IT_PIE_BI_PIEDICAVALLO 2001 80
HSD_IT_PIE_BI_PIEDICAVALLO 2002 76
HSD_IT_PIE_BI_PIEDICAVALLO 2003 51
HSD_IT_PIE_BI_PIEDICAVALLO 2004 94
HSD_IT_PIE_BI_PIEDICAVALLO 2005 117
HSD_IT_PIE_BI_PIEDICAVALLO 2006 153
HSD_IT_PIE_BI_PIEDICAVALLO 2007 49
HSD_IT_PIE_BI_PIEDICAVALLO 2008 97
HSD_IT_PIE_BI_PIEDICAVALLO 2009 144
HSD_IT_PIE_BI_PIEDICAVALLO 2010 222
HSD_IT_PIE_BI_PIEDICAVALLO 2011 163
HSD_IT_PIE_BI_PIEDICAVALLO 2012 40
HSD_IT_PIE_BI_PIEDICAVALLO 2013 98
HSD_IT_PIE_BI_PIEDICAVALLO 2014 126
HSD_IT_PIE_BI_PIEDICAVALLO 2015 76
HSD_IT_PIE_BI_PIEDICAVALLO 2016 43
HSD_IT_PIE_BI_PIEDICAVALLO 2017 50
HSD_IT_PIE_BI_PIEDICAVALLO 2018 52
HSD_IT_PIE_BI_PIEDICAVALLO 2019 29
HSD_IT_PIE_BI_PIEDICAVALLO 2020 54
HSD_IT_PIE_BI_PIEDICAVALLO 2021 105
HSD_IT_PIE_BI_PIEDICAVALLO 2022 42
HSD_IT_PIE_BI_PIEDICAVALLO 2023 61
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2007 125
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2008 251
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2009 234
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2010 183
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2011 211
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2012 147
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2013 202
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2014 200
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2015 176
