name lon lat ele mark
IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 7.60947 45.6247 1640 ok
IT_VDA_AO_RHEMES_NOTRE_DAME-CHAUDANNE_3060 7.11374 45.5604 1794 ok
IT_VDA_AO_VALSAVARENCHE-PONT_3070 7.20093 45.5268 1951 ok
IT_VDA_AO_NUS-SAINT_BARTHELEMY_OSSERVATORIO_3080 7.47806 45.79 1675 ok
IT_VDA_AO_COURMAYEUR-DOLONNE_3110 6.96642 45.7945 1200 ok
IT_VDA_AO_VALTOURNENCHE-BREUIL_CERVINIA_3590 7.62623 45.9314 1998 ok
IT_VDA_AO_SAINT_CHRISTOPHE-AEROPORTO_4090 7.36344 45.7393 545 ok
IT_VEN_BL_MONTI_ALTI_DI_ORNELLA_382 11.886278 46.47569 2227 ok
IT_VEN_BL_CIMA_PRADAZZO_383 11.822667 46.3559 2195 ok
IT_VEN_BL_COL_DEI_BALDI_384 12.073133 46.41522 1913 ok
IT_VEN_BL_RA_VALLES_385 12.07692 46.54917 2592 ok
IT_VEN_VI_MONTE_LISSER_386 11.650972 45.95425 1422 ok
IT_VEN_VR_MONTE_BALDO_387 10.865694 45.77314 1756 ok
IT_VEN_BL_FAVERGHERA_388 12.30125 46.07508 1603 ok
IT_VEN_BL_CASERA_DOANA_389 12.540972 46.48119 1887 ok
IT_VEN_BL_MALGA_LOSCH_390 11.959472 46.26239 1757 ok
IT_VEN_TV_MONTE_GRAPPA_391 11.782467 45.8694 1540 ok
IT_VEN_VR_MONTE_TOMBA_392 11.068889 45.68342 1624 ok
IT_VEN_VI_PASSO_CAMPOGROSSO_393 11.168389 45.7285 1462 ok
IT_VEN_BL_MONTE_PIANA_394 12.250263 46.61342 2262 ok
IT_VEN_BL_CASERA_COLTRONDO_395 12.443528 46.66519 1929 ok
IT_VEN_VI_CAMPOMOLON_396 11.272917 45.87317 1732 ok
IT_VEN_BL_CASERA_PALANTINA_397 12.475889 46.11894 1492 ok
IT_VEN_VI_MALGA_LARICI_398 11.4193 45.96362 1606 ok
IT_VEN_BL_PASSO_FALZAREGO_347 12.028025 46.52017 1988 ok
IT_PIE_AL_BRIC_CASTELLARO 8.79028 44.64278 415 ok
IT_PIE_AL_CAPANNE_MARCAROLO 8.76833 44.56306 780 ok
IT_PIE_AL_PIANI_DI_CARREGA 9.1875 44.61361 1245 ok
IT_PIE_AL_PONZONE_BRIC_BERTON 8.53917 44.51833 773 ok
IT_PIE_AT_ASTI 8.19 44.91778 175 ok
IT_PIE_BI_BIELMONTE 8.07583 45.66111 1480 ok
IT_PIE_BI_CAMPARIENT 8.085 45.73222 1515 ok
IT_PIE_BI_GRAGLIA 7.95 45.56917 1005 ok
IT_PIE_BI_PIEDICAVALLO 7.95639 45.68944 1040 ok
IT_PIE_CN_ACCEGLIO 6.98139 44.48528 1610 ok
IT_PIE_CN_ACCEGLIO_COLLET 6.90766 44.52081 1984 ok
IT_PIE_CN_ARGENTERA 6.93944 44.39528 1680 ok
IT_PIE_CN_BOVES 7.56194 44.335 575 ok
IT_PIE_CN_BRA 7.85167 44.70111 298 ok
IT_PIE_CN_CASTELMAGNO 7.16806 44.4 1755 ok
IT_PIE_CN_COLLE_DELL_AGNELLO 6.97861 44.68083 2685 ok
IT_PIE_CN_COLLE_LOMBARDA 7.14778 44.20778 2305 ok
IT_PIE_CN_CUNEO_CASCINA_VECCHIA 7.52722 44.37 575 ok
IT_PIE_CN_DIGA_DEL_CHIOTAS 7.33417 44.16111 2020 ok
IT_PIE_CN_ELVA 7.08917 44.54611 1770 ok
IT_PIE_CN_FEISOGLIO 8.11222 44.54583 770 ok
IT_PIE_CN_GARDETTA 7.01194 44.40917 2337 ok
IT_PIE_CN_LIMONE_PANCANI_1875m 7.59 44.16083 1875 NO
IT_PIE_CN_LIMONE_PANCANI_2008m 7.59528 44.1575 2008 ok
IT_PIE_CN_MONVISO_FINO_2010 7.08827 44.66025 3325 ok
IT_PIE_CN_ORMEA_STANTI 7.8544 44.1872 1928 ok
IT_PIE_CN_PAESANA 7.26276 44.66148 1257 ok
IT_PIE_CN_PALANFRE 7.48861 44.19333 1625 ok
IT_PIE_CN_PIAGGIA 7.73139 44.07167 1645 ok
IT_PIE_CN_PIAN_DELLE_BARACCHE 7.13333 44.54889 2135 ok
IT_PIE_CN_PIAN_GIASSET 7.12861 44.68944 2150 ok
IT_PIE_CN_PONTECHIANALE 7.0525 44.61194 1575 ok
IT_PIE_CN_PRIERO 8.10806 44.37722 610 ok
IT_PIE_CN_RIFUGIO_MONDOVI 7.73222 44.19167 1760 ok
IT_PIE_CN_VALDIERI 7.26806 44.20472 1390 ok
IT_PIE_SV_SETTEPANI 8.19472 44.23611 1375 NO
IT_PIE_TO_BARCENISIO 6.985 45.19167 1525 ok
IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 6.70472 45.06333 1585 ok
IT_PIE_TO_BARDONECCHIA_PRANUDIN 6.70803 45.10627 2045 ok
IT_PIE_TO_CALUSO 7.85028 45.28833 257 ok
IT_PIE_TO_CAMINI_FREJUS 6.68861 45.11722 1740 ok
IT_PIE_TO_CERESOLE_VILLA 7.21083 45.44028 1581 ok
IT_PIE_TO_CHATEAU_BEAULARD 6.75557 45.0281 1789 ok
IT_PIE_TO_CLAVIERE 6.75556 44.93361 2030 ok
IT_PIE_TO_CLOT_DELLA_SOMA 6.94167 44.98278 2150 ok
IT_PIE_TO_COLLE_BARANT 7.06056 44.77444 2294 ok
IT_PIE_TO_COLLE_BERCIA 6.78306 44.92111 2200 ok
IT_PIE_TO_COLLERETTO 7.65944 45.44222 1240 ok
IT_PIE_TO_FORNO_ALPI_GRAIE 7.22417 45.36056 1215 ok
IT_PIE_TO_GRANGE_MARTINA 6.975 45.15778 1967 ok
IT_PIE_TO_LAGO_AGNEL 7.13917 45.46778 2304 ok
IT_PIE_TO_LAGO_DI_VALSOERA 7.39278 45.48528 2365 ok
IT_PIE_TO_LAGO_DIETRO_LA_TORRE 7.16417 45.25917 2360 ok
IT_PIE_TO_LAGO_PILONE 6.87611 45.00222 2280 ok
IT_PIE_TO_LE_SELLE 6.91722 45.05444 1980 ok
IT_PIE_TO_MALCIAUSSIA 7.14833 45.20778 1800 ok
IT_PIE_TO_PIAMPRATO 7.57306 45.55694 1555 ok
IT_PIE_TO_PRAGELATO 6.92306 44.99139 1620 ok
IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 6.94139 45.00889 1525 ok
IT_PIE_TO_PRALY 7.0575 44.90472 1385 ok
IT_PIE_TO_PRERICHARD 6.71639 45.075 1290 ok
IT_PIE_TO_RIFUGIO_GASTALDI 7.14333 45.29806 2659 ok
IT_PIE_TO_RIFUGIO_VACCARONE 6.91639 45.15417 2745 ok
IT_PIE_TO_ROSONE 7.41833 45.43361 701 ok
IT_PIE_TO_SALBERTRAND 6.89389 45.07111 1010 ok
IT_PIE_TO_SAN_SICARIO 6.83611 44.9675 2087 ok
IT_PIE_TO_SAUZE_CESANA 6.91889 44.89444 1840 ok
IT_PIE_TO_SESTRIERE 6.87472 44.95111 2020 ok
IT_PIE_TO_SESTRIERE_BANCHETTA 6.91111 44.95444 2480 ok
IT_PIE_TO_SOMMEILLER 6.84278 45.13167 2981 ok
IT_PIE_TO_TORINO_BUON_PASTORE 7.6725 45.07944 240 ok
IT_PIE_TO_TORINO_GIARDINI_REALI 7.69194 45.07167 239 ok
IT_PIE_TO_VAL_CLAREA 6.9634 45.14074 1068 ok
IT_PIE_VB_ALPE_CHEGGIO 8.11556 46.085 1460 ok
IT_PIE_VB_ALPE_DEVERO 8.26 46.31611 1634 ok
IT_PIE_VB_ALPE_VEGLIA 8.14139 46.275 1740 ok
IT_PIE_VB_FORMAZZA 8.35833 46.43333 2453 ok
IT_PIE_VB_FORMAZZA_BRUGGI 8.42889 46.34778 1226 ok
IT_PIE_VB_LARECCHIO 8.43139 46.20472 1860 ok
IT_PIE_VB_MACUGNAGA_PECETTO 7.95778 45.97222 1360 ok
IT_PIE_VB_MACUGNAGA_RIFUGIO_ZAMBONI 7.91694 45.95139 2075 ok
IT_PIE_VB_PASSO_DEL_MORO 7.97639 45.99694 2820 ok
IT_PIE_VC_ALAGNA 7.93611 45.87444 1347 ok
IT_PIE_VC_ALBANO_VERCELLESE 8.38833 45.43806 155 ok
IT_PIE_VC_BOCCHETTA_DELLE_PISSE 7.90111 45.87556 2410 ok
IT_FVG_Aupa 13.299883 46.50518 900 NO
IT_FVG_Casetta_in_Canada 12.9553 46.5919 1000 NO
IT_FVG_Cave_del_Predil 13.5714 46.4403 910 ok
IT_FVG_Claut 12.5142 46.2661 610 ok
IT_FVG_Collina 12.8508 46.5886 1250 ok
IT_FVG_Florianca 13.562777 46.50611 1658 NO
IT_FVG_Forni_di_Sopra 12.5758 46.4236 910 ok
IT_FVG_Fusine_Val_Romana 13.6739 46.4892 850 ok
IT_FVG_Gilberti 13.462498 46.37167 1840 ok
IT_FVG_Lussari 13.52 46.48194 1770 ok
IT_FVG_Monte_Zoncolan 12.9317 46.5072 1750 NO
IT_FVG_Paluzza 13.011421 46.52504 610 ok
IT_FVG_Passo_Pramollo 13.2781 46.5569 1500 ok
IT_FVG_Passo_del_Predil 13.578135 46.41851 1156 ok
IT_FVG_Paularo 13.113888 46.53111 690 ok
IT_FVG_Piancavallo 12.5161 46.1069 1280 ok
IT_FVG_Pontebba 13.300555 46.49722 545 ok
IT_FVG_Pradibosco 12.688888 46.50944 1230 NO
IT_FVG_Prescudin 12.488888 46.19222 640 ok
IT_FVG_Ravascletto 12.9208 46.5208 880 ok
IT_FVG_Rifugio_Arneri 12.4967 46.10934 1610 ok
IT_FVG_Rifugio_Zacchi 13.684293 46.45924 1380 ok
IT_FVG_Rutte_Piccolo 13.5992 46.4956 800 ok
IT_FVG_Sauris_di_Sopra 12.679722 46.46833 1425 ok
IT_FVG_Sauris_di_Sopra_2 12.681944 46.46722 1420 ok
IT_FVG_Sella_Lius 13.0853 46.5375 1010 ok
IT_FVG_Sella_Nevea 13.4722 46.3861 1200 NO
IT_FVG_Tarvisio 13.562777 46.50611 777 ok
IT_FVG_Val_Saisera 13.482222 46.46 1000 NO
IT_FVG_Varmost 12.561388 46.45 1440 NO
IT_BZ_Alliz_Maso_Strimo_Osservatore 10.696073 46.65021 1754 ok
IT_BZ_Anterivo_Osservatore 11.367751 46.27735 1209 ok
IT_BZ_Anterselva_di_Mezzo_Osservatore 12.100897 46.86072 1236 ok
IT_BZ_Braies_Ferrara_Osservatore 12.128787 46.71924 1221 ok
IT_BZ_Bronzolo_Osservatore 11.318249 46.40558 250 ok
IT_BZ_Casere_di_Fuori_Osservatore 10.926697 46.7351 1705 ok
IT_BZ_Corona_Cortaccia_Osservatore 11.206752 46.32075 890 ok
IT_BZ_Costalovara_Osservatore 11.429301 46.52749 1250 ok
IT_BZ_Diga_di_Gioveretto_Osservatore 10.725072 46.50906 1851 ok
IT_BZ_Diga_di_Neves_Osservatore 11.787089 46.94142 1860 ok
IT_BZ_Diga_di_Quaira_Osservatore 10.893764 46.55203 2252 ok
IT_BZ_Diga_di_Valdaora_Osservatore 12.053657 46.75974 1057 ok
IT_BZ_Diga_di_Vizze_Osservatore 11.524672 46.92499 1365 ok
IT_BZ_Diga_di_Zoccolo_Osservatore 10.988362 46.54187 1144 ok
IT_BZ_Favogna_di_sotto_Osservatore 11.179263 46.27162 1060 ok
IT_BZ_Fie_allo_Sciliar_Osservatore 11.505966 46.51315 835 ok
IT_BZ_Fleres_Osservatore 11.347034 46.96521 1245 ok
IT_BZ_Fontana_Bianca 10.831811 46.48685 1900 ok
IT_BZ_Fortezza_Osservatore 11.632246 46.7783 725 ok
IT_BZ_Fundres_Osservatore 11.705099 46.88647 1150 ok
IT_BZ_La_Villa_in_Badia_Osservatore 11.907076 46.58363 1390 ok
IT_BZ_Lago_Verde_Osservatore 10.799401 46.48233 2560 ok
IT_BZ_Lazfons_Osservatore 11.546139 46.6724 1190 ok
IT_BZ_Longiaru_Osservatore 11.860878 46.63934 1396 ok
IT_BZ_Luson_Osservatore 11.763891 46.74503 981 ok
IT_BZ_Maia_Alta_Osservatore 11.183234 46.65782 334 ok
IT_BZ_Mazia_Osservatore 10.617526 46.69432 1570 ok
IT_BZ_Melago_Osservatore 10.656582 46.83743 1915 ok
IT_BZ_Meltina_Osservatore 11.251688 46.58577 1133 ok
IT_BZ_Molini_di_Tures_Osservatore 11.941568 46.89782 850 ok
IT_BZ_Monte_Maria_Osservatore 10.520996 46.70625 1335 ok
IT_BZ_Nova_Levante_Osservatore 11.537399 46.43058 1180 ok
IT_BZ_Nova_Ponente_Maso_di_sopra_Osservatore 11.412535 46.41913 1415 ok
IT_BZ_Ora_Osservatore 11.305017 46.34689 250 ok
IT_BZ_Ortisei_Osservatore 11.672964 46.57404 1180 ok
IT_BZ_Pennes_Osservatore 11.426887 46.78149 1487 ok
IT_BZ_Plata_Osservatore 11.176968 46.82285 1130 ok
IT_BZ_Prato_allo_Stelvio_Osservatore 10.597153 46.62478 900 ok
IT_BZ_Racines_di_Dentro_Osservatore 11.317197 46.86603 1260 ok
IT_BZ_Redagno_Osservatore 11.398249 46.34736 1575 ok
IT_BZ_Ridanna_Osservatore 11.299491 46.91074 1350 ok
IT_BZ_Rifiano_Beobachter 11.183607 46.70503 500 ok
