data swe mean_swe covered mean_over_covered
1957-11-14 3.13658856311913 20.6195712135712 37091 141.731964640241
1957-11-15 3.13038427277159 20.578989303007 36675 143.057502434654
1957-11-16 3.11723138242569 20.4933057796552 36237 144.183812176198
1957-11-17 3.10129363701319 20.3891932313899 35780 145.283543978091
1957-11-18 3.10469509622363 20.4117069605556 35444 146.822737312397
1957-11-19 3.1012035160453 20.3890002414515 35299 147.261848793402
1957-11-20 3.09940001925678 20.3772218993927 35311 147.126762212117
1957-11-21 3.09911515670596 20.3753340855708 35519 146.251634349232
1957-11-22 3.09913184100708 20.37540507938 35457 146.507879978368
1957-11-23 3.10208535186224 20.394223989566 36987 140.57717036699
1957-11-24 3.09837343204502 20.3700569937274 36023 144.168070416339
1957-11-25 3.09174125106869 20.3268094696171 35625 145.469204241076
1957-11-26 3.07184707924585 20.1963196831334 34808 147.927829795867
1957-11-27 3.04348334438867 20.0102258887133 33902 150.481596972254
1957-11-28 3.01657838863213 19.8337692356578 33103 152.754714086342
1957-11-29 2.99727487516686 19.7072508067014 32537 154.42060732149
1957-11-30 2.98370992194903 19.6186922220433 32240 155.142841212846
1957-12-01 2.9877914841138 19.6445517012772 39228 127.674061914763
1957-12-02 2.98845875370104 19.6487262288727 39141 127.985038726076
1957-12-03 2.98745454705137 19.6423332353969 37185 134.673457057891
1957-12-04 2.9831323121822 19.6144976895513 33722 148.292977891252
1957-12-05 2.97973375784567 19.5924769884887 32763 152.462277590336
1957-12-06 2.97569895269348 19.5661754626334 32411 153.911202998175
1957-12-07 2.98342911612536 19.6172809617691 33204 150.627797810023
1957-12-08 3.00213885275248 19.7409957168462 35807 140.558734297921
1957-12-09 3.00319558132869 19.7483002611334 35606 141.404507663771
1957-12-10 3.00426057637144 19.755295726257 35760 140.845425075642
1957-12-11 3.16088458107925 20.7876039007408 53063 99.8778885871089
1957-12-12 4.28579401813192 28.1527807270339 97414 73.6811916063197
1957-12-13 5.40845539515945 35.5087008972281 91735 98.686202675633
1957-12-14 5.8417710090303 38.3616294792355 91106 107.351171134289
1957-12-15 5.84338097142825 38.3739722422859 86353 113.296383416245
1957-12-16 5.83641382633635 38.3276680500359 83520 116.998051927978
1957-12-17 5.81915414900956 38.2157716445697 82231 118.48511141242
1957-12-18 5.81175214757398 38.1678012547225 81627 119.212014378732
1957-12-19 5.80597207088062 38.1304101430972 81236 119.668449903895
1957-12-20 5.8005539345083 38.0954830385674 81523 119.137930352978
1957-12-21 5.79921061137225 38.0868119610428 82327 117.947584586828
1957-12-22 5.79919301569503 38.0866848779909 83381 116.456247782213
1957-12-23 5.83061733047506 38.2919258947556 98530 99.0821556763812
1957-12-24 6.11380580054307 40.1301885460701 155634 65.739052520716
1957-12-25 6.29618046181195 41.3139552305382 145721 72.2821981730906
1957-12-26 6.2997049930337 41.3363446355981 134088 78.5957162549249
1957-12-27 6.27085298249137 41.14976995835 126069 83.2177220462706
1957-12-28 6.24253956257865 40.9655777023467 118852 87.8758035269998
1957-12-29 6.24022378281944 40.9525218632974 116381 89.7129806546562
1957-12-30 6.22698882946839 40.8671948791224 113563 91.7475956220524
1957-12-31 6.2081590026253 40.7456068090198 111062 93.5345410812556
1958-01-01 6.19578403984113 40.6659063951765 110002 94.2511363553086
1958-01-02 6.18405116918271 40.5904668013945 108850 95.071934786241
1958-01-03 6.16719588145969 40.4817584618688 103853 99.3795538079007
1958-01-04 6.15209653218366 40.3840871436794 100181 102.773613772753
1958-01-05 6.16276223877648 40.45431398646 99076 104.100567293411
1958-01-06 6.35469519770022 41.7148173569867 112262 94.7358358124842
1958-01-07 6.43947487427393 42.2826943277028 94341 114.266492845551
1958-01-08 6.42473622993721 42.19104101879 86437 124.444949486696
1958-01-09 6.4418612423754 42.3058548494306 85297 126.451340606553
1958-01-10 6.48678955431392 42.6039556498442 87099 124.707758951118
1958-01-11 6.60872928122149 43.4025863708633 111249 99.4663574309699
1958-01-12 7.05431368472257 46.3316539127336 123555 95.6035894678915
1958-01-13 7.47259307575172 49.073870250647 119530 104.671900730132
1958-01-14 7.44307776295087 48.881527407053 102885 121.129360878219
1958-01-15 7.37817997309863 48.4607920516486 92602 133.421820202154
1958-01-16 7.32871407066216 48.1401633770948 87517 140.239985296042
1958-01-17 7.30763355987714 48.0031821513497 85485 143.164991433219
1958-01-18 7.29384886271893 47.9134072594768 84375 144.777138894351
1958-01-19 7.28929579883575 47.884409150639 83755 145.76058739615
1958-01-20 7.30597823592238 47.995878025162 83538 146.47941174547
1958-01-21 7.58046506639796 49.8014630306409 114290 111.093995984994
1958-01-22 7.67876782724067 50.4419170772708 138843 92.6241668702583
1958-01-23 7.68651940815259 50.4916082004577 144851 88.8698455814243
1958-01-24 7.69328198193278 50.5340665472822 145232 88.7112399491582
1958-01-25 7.69658240802277 50.5546881576272 145492 88.5888454380669
1958-01-26 7.68897722742191 50.5065957797194 140552 91.6152534338555
1958-01-27 7.68166153648647 50.4594749614387 137556 93.5233185095071
1958-01-28 7.67204718358432 50.3972606511584 134808 95.3120883053936
1958-01-29 7.64975450980492 50.2530097979661 128359 99.8142327456684
1958-01-30 7.58379904745815 49.824936563376 107199 118.498469218643
1958-01-31 7.50880318174201 49.3361085072723 85802 146.596701709023
1958-02-01 7.46453079045359 49.0472773215542 80099 156.114962738705
1958-02-02 7.42182817612644 48.7689203025214 77137 161.189636621182
1958-02-03 7.38033127816968 48.4981741561933 75498 163.774643027572
1958-02-04 7.35147478926113 48.3107040144445 74209 165.975316999106
1958-02-05 7.31971358984119 48.104447127681 73145 167.670748508434
1958-02-06 7.2848432334793 47.8778059204232 71889 169.79641526823
1958-02-07 7.2472308300981 47.6331671667407 70496 172.266846378911
1958-02-08 7.18984258742946 47.2586414720033 68904 174.861225791372
1958-02-09 7.12044832748436 46.8045502998479 67136 177.741701970575
1958-02-10 7.05003127143514 46.342455609493 65482 180.432109588831
1958-02-11 7.08450672431824 46.5680868116172 63956 185.636692424614
1958-02-12 7.21081830320881 47.4011417843833 63368 190.710902964751
1958-02-13 7.12175421335835 46.8175975064933 61359 194.530440552779
1958-02-14 6.99140804298786 45.9624767144254 59538 196.818492405178
1958-02-15 6.82918508746616 44.8975022722688 57566 198.844163252913
1958-02-16 6.65619599409387 43.7612203936148 55437 201.254882128767
1958-02-17 6.53531772687502 42.9689548185921 53730 203.889410012188
1958-02-18 6.52542038812062 42.9081580326013 53246 205.451635776767
1958-02-19 6.90709680861315 45.3816972646413 133371 86.7513109995244
1958-02-20 6.96536248202327 45.7460468923856 146524 79.5978843142461
1958-02-21 6.84377453761916 44.9670744601216 102220 112.154183141092
1958-02-22 6.80566442295768 44.7340049650617 77288 147.564684036946
1958-02-23 6.84567955876074 45.0022039543596 72792 157.618377024507
1958-02-24 6.84568931409669 45.0077312783074 67962 168.840912526643
1958-02-25 6.90657336785745 45.4150377764186 65107 177.839699204935
1958-02-26 7.44978250137954 49.0037077582293 70105 178.211886408506
1958-02-27 8.09261979119488 53.2463908803769 80454 168.732699447423
1958-02-28 8.23042790451847 54.1538797611747 78708 175.415279247233
1958-03-01 8.220600556367 54.0827802179159 77014 179.03834237071
1958-03-02 8.18813697795572 53.8704048909127 72709 188.894271649219
1958-03-03 8.12624933940577 53.4667951787703 67330 202.456748813644
1958-03-04 8.08931327635324 53.2270165585374 64570 210.163870196928
1958-03-05 8.05786270087298 53.0213142851137 62930 214.807517850056
1958-03-06 8.01718871032126 52.7544994980952 61481 218.763722150565
1958-03-07 7.97613835313763 52.4852410884269 60040 222.870831124842
1958-03-08 8.09394423908962 53.2592180489061 73768 184.070205248707
1958-03-09 8.17970421018401 53.8040431234888 96264 142.497658505533
1958-03-10 8.42763123199181 55.4045883314671 126156 111.968160053393
1958-03-11 9.08238718421934 59.6316162480899 190828 79.6693367538662
1958-03-12 9.49595962271856 62.3324026872903 181277 87.6653320472391
1958-03-13 9.50360807489341 62.3911127900116 162006 98.1857252010805
1958-03-14 9.39185838783162 61.6966056299479 131685 119.448770186132
1958-03-15 9.14910510062546 60.138145366251 100909 151.941653363635
1958-03-16 9.03912920394543 59.4318668946695 89014 170.222817721514
1958-03-17 9.00278745086501 59.2006589445479 84071 179.530006762991
1958-03-18 9.05445050790719 59.5298394767434 83898 180.900523307292
1958-03-19 9.03042525671558 59.3736137720421 79814 189.657982368957
1958-03-20 8.94125539663668 58.7988986165434 74141 202.193631070344
1958-03-21 8.9215724709133 58.6740875747401 72033 207.668947583296
1958-03-22 9.00010095608764 59.1716161192559 90358 166.956580504443
1958-03-23 8.97897041533016 59.0371404740631 83852 179.501717323413
1958-03-24 8.94708591389117 58.8343062033242 76218 196.802135989447
1958-03-25 8.93864390764842 58.7808833817538 73553 203.747569766855
1958-03-26 8.9920612146237 59.1206671022255 72468 207.993503317043
1958-03-27 8.89604238722276 58.4919659137746 66502 224.242657388992
1958-03-28 8.73979739158448 57.4680848405461 61748 237.279680284091
1958-03-29 8.54581620939101 56.1988354590062 58225 246.078991826691
1958-03-30 8.38967779029717 55.1730246213221 55286 254.430014836137
1958-03-31 8.19628066712448 53.9042655218525 52609 261.228048414944
1958-04-01 8.09630431349191 53.2495659863428 50893 266.756333833417
1958-04-02 8.10499515874035 53.3099089659219 49811 272.859701687795
1958-04-03 8.32223684067598 54.7461296386751 50081 278.700115762662
1958-04-04 8.75239360788004 57.5783872440073 53677 273.481517339771
1958-04-05 9.05066087429139 59.5476107212375 52266 290.470342115146
1958-04-06 9.19398735444326 60.4851010551402 54554 282.6692268048
1958-04-07 9.3196219427498 61.3131605875016 53501 292.178680864734
1958-04-08 9.29402779605231 61.1447709611509 51011 305.599194317233
1958-04-09 9.31177024113657 61.259247467396 52312 298.556858867183
1958-04-10 9.32456094944722 61.3402202822951 56130 278.616613240538
1958-04-11 9.35990090756402 61.5746045356403 55349 283.627653633598
1958-04-12 9.88821309458127 65.0287015904724 83519 198.507315690951
1958-04-13 10.187215183579 66.9832814937583 77285 220.967258848615
1958-04-14 10.5457222023411 69.3180199215944 68564 257.754776515816
1958-04-15 10.7119375923978 70.4142470487104 62478 287.336065484103
1958-04-16 10.8211161748338 71.1450329523428 60001 302.303249883048
1958-04-17 10.745477454488 70.6521186605693 56581 318.354718096725
1958-04-18 10.7896794284032 70.9445101407013 56073 322.568327089365
1958-04-19 10.7363402863825 70.5972540075794 54129 332.517513837063
1958-04-20 10.5676480201564 69.4924024900573 51560 343.622139395706
1958-04-21 10.3038858072186 67.7612459015785 48995 352.603273882097
1958-04-22 10.0136434136123 65.855069045092 46748 359.155807908686
1958-04-23 9.89165468634019 65.0582210104035 45399 365.35294840907
1958-04-24 9.81716396969963 64.5689940455367 44580 369.267151209144
1958-04-25 9.64902950740505 63.4647857864342 43476 372.168796601279
1958-04-26 9.52084111990549 62.6228298710232 42582 374.94136251109
