station year los
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2021 116
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2022 60
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2023 92
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2011 171
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2012 210
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2013 231
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2014 204
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2015 185
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2016 197
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2017 198
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2018 210
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2019 216
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2020 200
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2021 197
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2022 172
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2023 198
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2011 207
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2012 223
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2013 248
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2014 235
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2015 205
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2016 185
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2017 219
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2018 195
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2019 213
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2020 203
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2021 192
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2022 194
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2023 202
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2002 47
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2003 67
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2004 130
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2005 73
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2006 64
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2007 57
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2008 61
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2009 142
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2010 135
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2011 118
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2012 63
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2013 91
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2014 126
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2015 66
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2016 72
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2017 60
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2018 119
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2019 41
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2020 102
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2021 75
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2022 13
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2023 31
HSD_IT_PIE_AL_BRIC_CASTELLARO 2011 33
HSD_IT_PIE_AL_BRIC_CASTELLARO 2012 24
HSD_IT_PIE_AL_BRIC_CASTELLARO 2013 38
HSD_IT_PIE_AL_BRIC_CASTELLARO 2014 0
HSD_IT_PIE_AL_BRIC_CASTELLARO 2015 10
HSD_IT_PIE_AL_BRIC_CASTELLARO 2016 5
HSD_IT_PIE_AL_BRIC_CASTELLARO 2017 0
HSD_IT_PIE_AL_BRIC_CASTELLARO 2018 10
HSD_IT_PIE_AL_BRIC_CASTELLARO 2019 12
HSD_IT_PIE_AL_BRIC_CASTELLARO 2020 0
HSD_IT_PIE_AL_BRIC_CASTELLARO 2021 39
HSD_IT_PIE_AL_BRIC_CASTELLARO 2022 8
HSD_IT_PIE_AL_BRIC_CASTELLARO 2023 8
HSD_IT_PIE_BI_PIEDICAVALLO 2001 39
HSD_IT_PIE_BI_PIEDICAVALLO 2002 25
HSD_IT_PIE_BI_PIEDICAVALLO 2003 23
HSD_IT_PIE_BI_PIEDICAVALLO 2004 52
HSD_IT_PIE_BI_PIEDICAVALLO 2005 12
HSD_IT_PIE_BI_PIEDICAVALLO 2006 23
HSD_IT_PIE_BI_PIEDICAVALLO 2007 7
HSD_IT_PIE_BI_PIEDICAVALLO 2008 10
HSD_IT_PIE_BI_PIEDICAVALLO 2009 101
HSD_IT_PIE_BI_PIEDICAVALLO 2010 66
HSD_IT_PIE_BI_PIEDICAVALLO 2011 17
HSD_IT_PIE_BI_PIEDICAVALLO 2012 21
HSD_IT_PIE_BI_PIEDICAVALLO 2013 19
HSD_IT_PIE_BI_PIEDICAVALLO 2014 74
HSD_IT_PIE_BI_PIEDICAVALLO 2015 39
HSD_IT_PIE_BI_PIEDICAVALLO 2016 29
HSD_IT_PIE_BI_PIEDICAVALLO 2017 3
HSD_IT_PIE_BI_PIEDICAVALLO 2018 24
HSD_IT_PIE_BI_PIEDICAVALLO 2019 1
HSD_IT_PIE_BI_PIEDICAVALLO 2020 3
HSD_IT_PIE_BI_PIEDICAVALLO 2021 47
HSD_IT_PIE_BI_PIEDICAVALLO 2022 0
HSD_IT_PIE_BI_PIEDICAVALLO 2023 6
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2007 86
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2008 178
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2009 203
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2010 177
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2011 192
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2012 109
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2013 181
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2014 175
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2015 162
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2016 86
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2017 154
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2018 183
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2019 179
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2020 149
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2021 143
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2022 121
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2023 123
HSD_IT_PIE_SV_SETTEPANI 2004 20
HSD_IT_PIE_SV_SETTEPANI 2005 6
HSD_IT_PIE_SV_SETTEPANI 2006 17
HSD_IT_PIE_SV_SETTEPANI 2007 0
HSD_IT_PIE_SV_SETTEPANI 2008 0
HSD_IT_PIE_SV_SETTEPANI 2009 52
HSD_IT_PIE_SV_SETTEPANI 2010 55
HSD_IT_PIE_SV_SETTEPANI 2011 25
HSD_IT_PIE_SV_SETTEPANI 2012 4
HSD_IT_PIE_SV_SETTEPANI 2013 22
HSD_IT_PIE_SV_SETTEPANI 2014 21
HSD_IT_PIE_SV_SETTEPANI 2015 6
HSD_IT_PIE_SV_SETTEPANI 2016 23
HSD_IT_PIE_SV_SETTEPANI 2017 12
HSD_IT_PIE_SV_SETTEPANI 2018 3
HSD_IT_PIE_SV_SETTEPANI 2019 0
HSD_IT_PIE_SV_SETTEPANI 2020 10
HSD_IT_PIE_SV_SETTEPANI 2021 32
HSD_IT_PIE_SV_SETTEPANI 2022 1
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2004 140
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2005 89
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2006 123
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2007 64
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2008 131
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2009 138
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2010 141
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2011 120
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2012 89
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2013 134
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2014 137
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2015 78
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2016 80
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2017 90
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2018 136
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2019 98
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2020 112
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2021 89
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2022 62
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2003 113
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2004 142
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2005 93
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2006 116
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2007 56
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2008 121
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2009 143
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2010 141
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2011 121
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2012 79
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2013 135
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2014 127
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2015 72
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2016 53
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2017 61
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2018 135
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2019 53
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2020 105
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2021 66
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2022 46
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2001 214
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2002 115
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2003 162
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2004 218
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2005 156
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2006 104
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2007 134
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2008 146
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2009 215
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2010 197
HSD_IT_PIE_TO_MALCIAUSSIA 2001 161
HSD_IT_PIE_TO_MALCIAUSSIA 2002 93
HSD_IT_PIE_TO_MALCIAUSSIA 2003 125
HSD_IT_PIE_TO_MALCIAUSSIA 2004 198
HSD_IT_PIE_TO_MALCIAUSSIA 2005 144
HSD_IT_PIE_TO_MALCIAUSSIA 2006 97
HSD_IT_PIE_TO_MALCIAUSSIA 2007 77
HSD_IT_PIE_TO_MALCIAUSSIA 2008 128
HSD_IT_PIE_TO_MALCIAUSSIA 2009 201
HSD_IT_PIE_TO_MALCIAUSSIA 2010 161
HSD_IT_PIE_TO_MALCIAUSSIA 2011 171
HSD_IT_PIE_TO_MALCIAUSSIA 2012 131
HSD_IT_PIE_TO_MALCIAUSSIA 2013 178
HSD_IT_PIE_TO_MALCIAUSSIA 2014 146
HSD_IT_PIE_TO_MALCIAUSSIA 2015 152
HSD_IT_PIE_TO_MALCIAUSSIA 2016 90
HSD_IT_PIE_TO_MALCIAUSSIA 2017 168
HSD_IT_PIE_TO_MALCIAUSSIA 2018 163
HSD_IT_PIE_TO_MALCIAUSSIA 2019 102
HSD_IT_PIE_TO_MALCIAUSSIA 2020 156
HSD_IT_PIE_TO_MALCIAUSSIA 2021 107
HSD_IT_PIE_TO_MALCIAUSSIA 2022 90
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2001 131
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2002 74
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2003 94
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2004 142
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2005 75
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2006 110
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2007 46
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2008 88
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2009 160
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2010 141
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2011 134
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2012 53
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2013 148
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2014 137
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2015 82
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2016 58
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2017 100
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2018 137
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2019 57
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2020 95
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2021 74
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2022 58
HSD_IT_PIE_TO_PRERICHARD 2001 107
HSD_IT_PIE_TO_PRERICHARD 2002 22
HSD_IT_PIE_TO_PRERICHARD 2003 42
HSD_IT_PIE_TO_PRERICHARD 2004 49
HSD_IT_PIE_TO_PRERICHARD 2005 32
HSD_IT_PIE_TO_PRERICHARD 2006 61
HSD_IT_PIE_TO_PRERICHARD 2007 8
HSD_IT_PIE_TO_PRERICHARD 2008 50
HSD_IT_PIE_TO_PRERICHARD 2009 108
HSD_IT_PIE_TO_PRERICHARD 2010 105
HSD_IT_PIE_TO_PRERICHARD 2011 67
HSD_IT_PIE_TO_PRERICHARD 2012 34
HSD_IT_PIE_TO_PRERICHARD 2013 66
HSD_IT_PIE_TO_PRERICHARD 2014 83
HSD_IT_PIE_TO_PRERICHARD 2015 54
HSD_IT_PIE_TO_PRERICHARD 2016 47
HSD_IT_PIE_TO_PRERICHARD 2017 27
HSD_IT_PIE_TO_PRERICHARD 2018 100
HSD_IT_PIE_TO_PRERICHARD 2019 33
HSD_IT_PIE_TO_PRERICHARD 2020 57
HSD_IT_PIE_TO_PRERICHARD 2021 61
HSD_IT_PIE_TO_PRERICHARD 2022 14
HSD_IT_PIE_TO_ROSONE 2006 5
HSD_IT_PIE_TO_ROSONE 2007 0
HSD_IT_PIE_TO_ROSONE 2008 5
HSD_IT_PIE_TO_ROSONE 2009 68
HSD_IT_PIE_TO_ROSONE 2010 19
HSD_IT_PIE_TO_ROSONE 2011 8
HSD_IT_PIE_TO_ROSONE 2012 16
HSD_IT_PIE_TO_ROSONE 2013 8
HSD_IT_PIE_TO_ROSONE 2014 10
HSD_IT_PIE_TO_ROSONE 2015 11
HSD_IT_PIE_TO_ROSONE 2016 2
HSD_IT_PIE_TO_ROSONE 2017 0
HSD_IT_PIE_TO_ROSONE 2018 19
HSD_IT_PIE_TO_ROSONE 2019 0
HSD_IT_PIE_TO_ROSONE 2020 6
HSD_IT_PIE_TO_ROSONE 2021 11
HSD_IT_PIE_TO_ROSONE 2022 0
HSD_IT_PIE_TO_SAUZE_CESANA 2001 168
HSD_IT_PIE_TO_SAUZE_CESANA 2002 138
HSD_IT_PIE_TO_SAUZE_CESANA 2003 145
HSD_IT_PIE_TO_SAUZE_CESANA 2004 173
HSD_IT_PIE_TO_SAUZE_CESANA 2005 147
HSD_IT_PIE_TO_SAUZE_CESANA 2006 140
HSD_IT_PIE_TO_SAUZE_CESANA 2007 122
HSD_IT_PIE_TO_SAUZE_CESANA 2008 150
HSD_IT_PIE_TO_SAUZE_CESANA 2009 188
HSD_IT_PIE_TO_SAUZE_CESANA 2010 169
HSD_IT_PIE_TO_SAUZE_CESANA 2011 161
HSD_IT_PIE_TO_SAUZE_CESANA 2012 109
