station year duration start
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2022 109 90
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2023 113 75
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2011 132 136
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2012 118 168
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2013 106 197
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2014 106 76
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2015 85 196
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2016 102 141
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2017 119 159
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2018 103 182
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2019 138 152
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2020 38 127
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2021 102 125
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2022 105 60
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2023 43 195
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2001 16 330
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2002 42 159
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2003 115 79
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2004 68 96
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2005 40 37
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2006 64 152
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2007 30 144
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2008 103 82
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2009 151 84
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2010 125 90
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2011 92 77
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2012 75 103
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2013 81 127
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2014 136 85
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2015 65 138
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2016 37 160
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2017 51 110
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2018 86 92
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2019 15 100
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2020 21 78
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2021 59 119
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2022 31 90
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2023 38 94
HSD_IT_PIE_AL_BRIC_CASTELLARO 2011 24 87
HSD_IT_PIE_AL_BRIC_CASTELLARO 2012 26 151
HSD_IT_PIE_AL_BRIC_CASTELLARO 2013 53 136
HSD_IT_PIE_AL_BRIC_CASTELLARO 2014 6 152
HSD_IT_PIE_AL_BRIC_CASTELLARO 2015 8 156
HSD_IT_PIE_AL_BRIC_CASTELLARO 2016 8 187
HSD_IT_PIE_AL_BRIC_CASTELLARO 2017 8 110
HSD_IT_PIE_AL_BRIC_CASTELLARO 2018 18 158
HSD_IT_PIE_AL_BRIC_CASTELLARO 2019 13 146
HSD_IT_PIE_AL_BRIC_CASTELLARO 2020 4 103
HSD_IT_PIE_AL_BRIC_CASTELLARO 2021 36 117
HSD_IT_PIE_AL_BRIC_CASTELLARO 2022 15 99
HSD_IT_PIE_AL_BRIC_CASTELLARO 2023 7 141
HSD_IT_PIE_BI_PIEDICAVALLO 1998 30 135
HSD_IT_PIE_BI_PIEDICAVALLO 1999 79 122
HSD_IT_PIE_BI_PIEDICAVALLO 2000 81 72
HSD_IT_PIE_BI_PIEDICAVALLO 2001 50 116
HSD_IT_PIE_BI_PIEDICAVALLO 2002 47 105
HSD_IT_PIE_BI_PIEDICAVALLO 2003 43 143
HSD_IT_PIE_BI_PIEDICAVALLO 2004 42 119
HSD_IT_PIE_BI_PIEDICAVALLO 2005 31 117
HSD_IT_PIE_BI_PIEDICAVALLO 2006 60 149
HSD_IT_PIE_BI_PIEDICAVALLO 2007 17 146
HSD_IT_PIE_BI_PIEDICAVALLO 2008 55 125
HSD_IT_PIE_BI_PIEDICAVALLO 2009 128 85
HSD_IT_PIE_BI_PIEDICAVALLO 2010 109 95
HSD_IT_PIE_BI_PIEDICAVALLO 2011 106 77
HSD_IT_PIE_BI_PIEDICAVALLO 2012 27 151
HSD_IT_PIE_BI_PIEDICAVALLO 2013 39 164
HSD_IT_PIE_BI_PIEDICAVALLO 2014 120 82
HSD_IT_PIE_BI_PIEDICAVALLO 2015 69 139
HSD_IT_PIE_BI_PIEDICAVALLO 2016 14 159
HSD_IT_PIE_BI_PIEDICAVALLO 2017 17 135
HSD_IT_PIE_BI_PIEDICAVALLO 2018 30 101
HSD_IT_PIE_BI_PIEDICAVALLO 2019 12 154
HSD_IT_PIE_BI_PIEDICAVALLO 2020 34 76
HSD_IT_PIE_BI_PIEDICAVALLO 2021 89 93
HSD_IT_PIE_BI_PIEDICAVALLO 2022 21 99
HSD_IT_PIE_BI_PIEDICAVALLO 2023 34 90
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2007 56 100
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2008 206 55
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2009 203 66
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2010 173 91
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2011 147 114
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2012 103 151
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2013 186 88
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2014 198 79
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2015 166 90
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2016 92 160
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2017 155 86
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2018 199 66
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2019 132 79
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2020 176 72
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2021 160 89
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2022 172 69
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2023 157 83
HSD_IT_PIE_SV_SETTEPANI 2004 99 119
HSD_IT_PIE_SV_SETTEPANI 2005 85 117
HSD_IT_PIE_SV_SETTEPANI 2006 134 85
HSD_IT_PIE_SV_SETTEPANI 2007 18 55
HSD_IT_PIE_SV_SETTEPANI 2008 106 106
HSD_IT_PIE_SV_SETTEPANI 2009 146 89
HSD_IT_PIE_SV_SETTEPANI 2010 137 95
HSD_IT_PIE_SV_SETTEPANI 2011 146 77
HSD_IT_PIE_SV_SETTEPANI 2012 33 169
HSD_IT_PIE_SV_SETTEPANI 2013 151 92
HSD_IT_PIE_SV_SETTEPANI 2014 140 82
HSD_IT_PIE_SV_SETTEPANI 2015 80 151
HSD_IT_PIE_SV_SETTEPANI 2016 60 161
HSD_IT_PIE_SV_SETTEPANI 2017 84 110
HSD_IT_PIE_SV_SETTEPANI 2018 82 149
HSD_IT_PIE_SV_SETTEPANI 2019 87 105
HSD_IT_PIE_SV_SETTEPANI 2020 45 72
HSD_IT_PIE_SV_SETTEPANI 2021 111 93
HSD_IT_PIE_SV_SETTEPANI 2022 42 86
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2004 192 48
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2005 111 90
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2006 135 91
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2007 45 97
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2008 133 79
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2009 91 144
