station year los
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2011 136
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2012 119
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2013 171
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2014 155
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2015 126
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2016 103
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2017 152
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2018 155
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2019 135
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2020 146
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2021 127
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2022 133
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2003 162
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2004 187
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2005 141
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2006 143
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2007 136
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2008 176
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2009 184
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2010 175
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2011 160
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2012 157
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2013 190
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2014 170
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2015 143
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2016 135
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2017 194
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2018 191
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2019 193
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2020 165
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2021 152
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2022 164
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 1991 232
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 1992 193
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 1993 237
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 1994 238
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 1995 227
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 1996 204
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 1997 190
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 1998 161
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 1999 165
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2000 212
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2001 250
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2002 221
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2003 203
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2004 240
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2005 238
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2006 188
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2007 222
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2008 220
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2009 277
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 2010 229
HSD_IT_PIE_TO_MALCIAUSSIA 2001 220
HSD_IT_PIE_TO_MALCIAUSSIA 2002 125
HSD_IT_PIE_TO_MALCIAUSSIA 2003 182
HSD_IT_PIE_TO_MALCIAUSSIA 2004 199
HSD_IT_PIE_TO_MALCIAUSSIA 2005 131
HSD_IT_PIE_TO_MALCIAUSSIA 2006 107
HSD_IT_PIE_TO_MALCIAUSSIA 2007 99
HSD_IT_PIE_TO_MALCIAUSSIA 2008 160
HSD_IT_PIE_TO_MALCIAUSSIA 2009 235
HSD_IT_PIE_TO_MALCIAUSSIA 2010 163
HSD_IT_PIE_TO_MALCIAUSSIA 2011 163
HSD_IT_PIE_TO_MALCIAUSSIA 2012 97
HSD_IT_PIE_TO_MALCIAUSSIA 2013 145
HSD_IT_PIE_TO_MALCIAUSSIA 2014 147
HSD_IT_PIE_TO_MALCIAUSSIA 2015 141
HSD_IT_PIE_TO_MALCIAUSSIA 2016 96
HSD_IT_PIE_TO_MALCIAUSSIA 2017 165
HSD_IT_PIE_TO_MALCIAUSSIA 2018 123
HSD_IT_PIE_TO_MALCIAUSSIA 2019 126
HSD_IT_PIE_TO_MALCIAUSSIA 2020 148
HSD_IT_PIE_TO_MALCIAUSSIA 2021 104
HSD_IT_PIE_TO_MALCIAUSSIA 2022 88
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2001 88
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2002 93
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2003 132
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2004 166
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2005 130
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2006 129
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2007 110
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2008 122
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2009 166
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2010 158
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2011 141
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2012 111
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2013 179
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2014 153
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2015 110
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2016 99
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2017 155
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2018 177
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2019 135
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2020 137
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2021 126
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2022 113
HSD_IT_PIE_TO_PRERICHARD 1991 55
HSD_IT_PIE_TO_PRERICHARD 1992 93
