name max_hs max_swe
HSD_CH_SLFGOR 335 1028.19839794373
HSD_CH_SLFGU2 271 741.1
HSD_CH_SLFHT2 288 882.86021564718
HSD_CH_SLFHT3 250 738.222785345394
HSD_CH_SLFIL2 284 772.9
HSD_CH_SLFJA2 356 1167.20165265224
HSD_CH_SLFJU2 268 844.410427976551
HSD_CH_SLFKE2 340 1041.50165554992
HSD_CH_SLFKL2 563 709.5574958
HSD_CH_SLFKL3 534 1038.07576145773
HSD_CH_SLFLA2 381 944.342760454737
HSD_CH_SLFLA3 441 649.3
HSD_CH_SLFLU2 623 1656.79413912159
HSD_CH_SLFLUM 375 748.4
HSD_CH_SLFMAE 229 611.679733294496
HSD_CH_SLFME2 309 994.629047285544
HSD_CH_SLFMEI 623 994.132531024599
HSD_CH_SLFML2 248 761.421987626704
HSD_CH_SLFMO2 464 1102.14290494641
HSD_CH_SLFMT2 420 1462.77182081413
HSD_CH_SLFMTR 267 522.74849990994
HSD_CH_SLFMU2 255 639.940950010267
HSD_CH_SLFNA2 688 851.5
HSD_CH_SLFNAS 160 431.246466309839
HSD_CH_SLFNE3 229 448.903509642835
HSD_CH_SLFOB2 461 1075.19843050568
HSD_CH_SLFOB3 636 906.595703698436
HSD_CH_SLFOBM 482 969.662958208215
HSD_CH_SLFOF2 241 720.590338508421
HSD_CH_SLFORT 625 1376.11972154276
HSD_CH_SLFOTT 375 870.380937780492
HSD_CH_SLFPAR 557 979.560804239901
HSD_CH_SLFPMA 315 665.079343157413
HSD_CH_SLFPU2 584 695.294147962958
HSD_CH_SLFRNZ 554 1008.3
HSD_CH_SLFRO2 609 1242.72745494192
HSD_CH_SLFSA2 606 602.1
HSD_CH_SLFSA3 504 700.3
HSD_CH_SLFSA4 465 561.9
HSD_CH_SLFSC2 576 780.969663593782
HSD_CH_SLFSC3 559 1544.31239830181
HSD_CH_SLFSCB 538 862.452221851773
HSD_CH_SLFSH2 538 1226.63501145074
HSD_CH_SLFSHE 493 801.71059579629
HSD_CH_SLFSI2 579 1099.9
HSD_CH_SLFSLF 567 407.4
HSD_CH_SLFSMN 280 924.228163998629
HSD_CH_SLFSP2 632 1228.5
HSD_CH_SLFSP3 554 1352.71179149524
HSD_CH_SLFST2 257 572.713779974922
HSD_CH_SLFSTN 369 678.958837098121
HSD_CH_SLFTA2 387 877.681396032432
HSD_CH_SLFTIT 480 1021.55709329755
HSD_CH_SLFTM2 267 757.373049407565
HSD_CH_SLFTR2 559 1165.55221613288
HSD_CH_SLFTU2 562 935.3
HSD_CH_SLFTU3 557 962.3034193
HSD_CH_SLFUR2 608 940.8
HSD_CH_SLFVD2 459 1522.94265445141
HSD_CH_SLFVI2 593 942.720398795767
HSD_CH_SLFVL2 186 354.3
HSD_CH_SLFWFJ 309 1039.77998220453
HSD_CH_SLFYBR 231 405.4
HSD_CH_SLFZE2 446 952.148528265065
HSD_CH_SLFZN2 593 1133.13261911417
HSD_CH_SMM_MAN 107 246.912223177708
HSD_CH_ULR 215 565.38733685057
HSD_CH_ULR_MAN 740 537.020682181955
HSD_CH_ZER 306 262
HSD_CH_ZER_MAN 150 326.356375151453
HSD_FR_METEOFRANCE_Agnieres_en_devoluy 127 183.3
HSD_FR_METEOFRANCE_Aigleton_nivose 438 1035.9
HSD_FR_METEOFRANCE_Aiguilles_rouges_nivose 421 1423.38321675806
HSD_FR_METEOFRANCE_Albiez 137 373.746136826742
HSD_FR_METEOFRANCE_Allant_nivose 208 623.334890851859
HSD_FR_METEOFRANCE_Alpe_d_huez 235 452.105968100312
HSD_FR_METEOFRANCE_Ancelle 80 162.84654452111
HSD_FR_METEOFRANCE_Antibes_garoupe 35 29.8
HSD_FR_METEOFRANCE_Arvieux_la_chalp 250 346.990543048961
HSD_FR_METEOFRANCE_Aussois_clim 180 449.94929494703
HSD_FR_METEOFRANCE_Autrans 200 483.276936886816
HSD_FR_METEOFRANCE_Ayze 42 32.1
HSD_FR_METEOFRANCE_Beaufort_sur_doron 175 435.563052253188
HSD_FR_METEOFRANCE_Bellecote_nivose 422 1074.43221638243
HSD_FR_METEOFRANCE_Bessans 185 501.202848414391
HSD_FR_METEOFRANCE_Bessans_clim 230 648.739542259959
HSD_FR_METEOFRANCE_Besse 120 231.167119920431
HSD_FR_METEOFRANCE_Beuil_obs 135 243.585322049627
HSD_FR_METEOFRANCE_Bonneval_nivose 351 965.312458832405
HSD_FR_METEOFRANCE_Bourg_st_maurice 163 248.349283865943
HSD_FR_METEOFRANCE_Bouvante 140 414.776577545323
HSD_FR_METEOFRANCE_Bozel 130 274.377533945786
HSD_FR_METEOFRANCE_Briancon 126 225.391056397108
HSD_FR_METEOFRANCE_Cannes 25 28.9
HSD_FR_METEOFRANCE_Cap_ferrat 40 18.1
HSD_FR_METEOFRANCE_Carpentras 14 9.5
HSD_FR_METEOFRANCE_Ceillac 112 281.085278396841
HSD_FR_METEOFRANCE_Ceillac_nivo 113 286.818238832882
HSD_FR_METEOFRANCE_Chambery_aix 38 48.8
HSD_FR_METEOFRANCE_Chamonix 150 339.469251491666
HSD_FR_METEOFRANCE_Chamonix_obs 236 339.778225311452
HSD_FR_METEOFRANCE_Chapelle_en_valgaudemar 170 264.88927321897
HSD_FR_METEOFRANCE_Chateau_ville_vieille 141 230.625669305784
HSD_FR_METEOFRANCE_Chatel 170 349.362013648084
HSD_FR_METEOFRANCE_Clusaz_la_ 170 409.378217
HSD_FR_METEOFRANCE_Col_agnel_nivose 246 773.488029414739
HSD_FR_METEOFRANCE_Col_de_porte 310 765.6
HSD_FR_METEOFRANCE_Col_des_saisies_73132003 500 630.590946605613
HSD_FR_METEOFRANCE_Combloux 153 278.2
HSD_FR_METEOFRANCE_Contamines_mj 162 531.7
HSD_FR_METEOFRANCE_Corps 74 107.3
HSD_FR_METEOFRANCE_Digne_les_bains 25 44.1
HSD_FR_METEOFRANCE_Embrun 67 127.050005852436
HSD_FR_METEOFRANCE_Frejus 13 17.9
HSD_FR_METEOFRANCE_Galibier_nivose 264 729.497119831685
HSD_FR_METEOFRANCE_Gets_les_ 230 704.909048828366
HSD_FR_METEOFRANCE_Glandage_sapc 41 65
HSD_FR_METEOFRANCE_Grand_bornand 240 629.3528563
HSD_FR_METEOFRANCE_Grande_chartreuse 190 432.558243507721
HSD_FR_METEOFRANCE_Grande_parei_nivose 381 1008.49336547089
HSD_FR_METEOFRANCE_Grenoble_st_geoirs 74 99.4781184549797
HSD_FR_METEOFRANCE_Gresse 195 276.1
HSD_FR_METEOFRANCE_Hauteluce 270 793.261086264618
HSD_FR_METEOFRANCE_Houches_les_ 150 211.8
HSD_FR_METEOFRANCE_Isola 210 471.2
HSD_FR_METEOFRANCE_Isola_2000 275 753.636409291483
HSD_FR_METEOFRANCE_Jarrier 81 155.608439475313
HSD_FR_METEOFRANCE_Jausiers 67 155
HSD_FR_METEOFRANCE_La_lechere 206 495.367198350504
HSD_FR_METEOFRANCE_La_mure_argens 45 44.9729938268017
HSD_FR_METEOFRANCE_La_plagne 320 860.033932808324
HSD_FR_METEOFRANCE_Lambruisse 110 79.9
HSD_FR_METEOFRANCE_Lanslebourg_mt 280 738.344928513918
HSD_FR_METEOFRANCE_Lavaldens 195 238.792430021422
HSD_FR_METEOFRANCE_Le_biot 60 100.247834010203
HSD_FR_METEOFRANCE_Le_chevril_nivose 244 740.2
HSD_FR_METEOFRANCE_Le_dramont 40 20.3
HSD_FR_METEOFRANCE_Le_grand_bornand_74136005 235 741.072036353491
HSD_FR_METEOFRANCE_Le_grand_bornand_74136400 260 410
HSD_FR_METEOFRANCE_Le_gua_nivose 339 846.150347771622
HSD_FR_METEOFRANCE_Le_luc 35 19.2981188
HSD_FR_METEOFRANCE_Le_monetier_les_bains 200 344.626725509644
HSD_FR_METEOFRANCE_Le_tour 259 641.828115370648
HSD_FR_METEOFRANCE_Les_carroz_village 144 228.3
HSD_FR_METEOFRANCE_Les_deserts 157 390.6
HSD_FR_METEOFRANCE_Les_ecrins_nivose 485 1486.0245738189
HSD_FR_METEOFRANCE_Les_orres 143 182.906857245074
HSD_FR_METEOFRANCE_Les_portes_en_valgaudemar 114 264.88927321897
HSD_FR_METEOFRANCE_Les_rochilles_nivose 209 674.059829301807
HSD_FR_METEOFRANCE_Lus_l_croix_hte 130 128.5
HSD_FR_METEOFRANCE_Maljasset 160 490.856373033484
HSD_FR_METEOFRANCE_Meailles_sapc 102 172.582228790656
HSD_FR_METEOFRANCE_Megeve 216 481.523179202563
HSD_FR_METEOFRANCE_Megeve_auxi 170 249.3
HSD_FR_METEOFRANCE_Meythet 19 10.5
HSD_FR_METEOFRANCE_Millefonts_nivose 341 966.8
HSD_FR_METEOFRANCE_Montgenevre 175 473.600446228074
HSD_FR_METEOFRANCE_Montmin 125 342.4
HSD_FR_METEOFRANCE_Montsapey 203 440.71906003129
HSD_FR_METEOFRANCE_Motte_molines 110 256.690156534505
HSD_FR_METEOFRANCE_Nevache 180 254.246625487752
HSD_FR_METEOFRANCE_Nice 38 37.8919612497137
HSD_FR_METEOFRANCE_Orcieres_nivose 277 946.8
HSD_FR_METEOFRANCE_Parpaillon_nivose 177 503.895046743601
HSD_FR_METEOFRANCE_Peisey_nancroix 174 419.962227139971
HSD_FR_METEOFRANCE_Pelvoux 158 378.264277485939
HSD_FR_METEOFRANCE_Pelvoux_st_antoine 158 308.288664023703
HSD_FR_METEOFRANCE_Pralognan_la_vanoise 190 482.193924303471
HSD_FR_METEOFRANCE_Puy_st_vincent 150 404.389506036764
HSD_FR_METEOFRANCE_Restefond_nivose 212 878.3
HSD_FR_METEOFRANCE_Samoens 130 172.8
HSD_FR_METEOFRANCE_Servoz 140 195.3
HSD_FR_METEOFRANCE_Seyne 80 114.874683610058
HSD_FR_METEOFRANCE_St_auban_4049001 27 47
HSD_FR_METEOFRANCE_St_baudille 88 124.918404168973
HSD_FR_METEOFRANCE_St_christol 65 100.7
HSD_FR_METEOFRANCE_St_christophe_38375001 200 475.716379401214
HSD_FR_METEOFRANCE_St_colomban_des_villards 150 377.371754
HSD_FR_METEOFRANCE_St_etienne_en_devoluy 82 169.6
HSD_FR_METEOFRANCE_St_hilaire_nivose 227 634.8
HSD_FR_METEOFRANCE_St_jean_d_arves 80 172.9
HSD_FR_METEOFRANCE_St_jean_de_belleville 170 406.756446042651
HSD_FR_METEOFRANCE_St_martin_de_belleville 220 566.846143806412
HSD_FR_METEOFRANCE_St_michel_de_maurienne 180 364.117836222748
HSD_FR_METEOFRANCE_St_paul 225 492.240435157312
HSD_FR_METEOFRANCE_St_sorlin_d_arves_73280001 195 464.411362923553
HSD_FR_METEOFRANCE_St_veran 297 942.574048710462
HSD_FR_METEOFRANCE_Ste_foy_tarentaise 210 603.92935770721
HSD_FR_METEOFRANCE_Tende_casterino 220 511.7
HSD_FR_METEOFRANCE_Termignon_clim 100 212.977235210561
HSD_FR_METEOFRANCE_Tignes_brevieres 190 274.434361288237
HSD_FR_METEOFRANCE_Tignes_sapc 208 580.5
HSD_FR_METEOFRANCE_Toulon 22 4.8716502
HSD_FR_METEOFRANCE_Trevignin 56 82.8
HSD_FR_METEOFRANCE_Uvernet_fours 100 265
HSD_FR_METEOFRANCE_Vacheresse_auxi 170 118.3
HSD_FR_METEOFRANCE_Valjouffrey 140 127.874787780851
HSD_FR_METEOFRANCE_Valloire_forest 164 393.04420216741
HSD_FR_METEOFRANCE_Vallorcine 170 420.6
HSD_FR_METEOFRANCE_Villar_loubiere 110 214.72519930519
HSD_FR_METEOFRANCE_Villar_st_pancrace 80 169.049021077626
HSD_FR_METEOFRANCE_Villard_bois_barbu_38548403 120 221.7
HSD_FR_METEOFRANCE_Villard_de_lans_38548001 260 353.188009924741
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 107 252.827745854042
HSD_IT_BZ_Anterivo_Osservatore 124 247.921148473873
HSD_IT_BZ_Anterselva_di_Mezzo_Osservatore 70 166.5
HSD_IT_BZ_Braies_Ferrara_Osservatore 97 234.557737214839
HSD_IT_BZ_Bronzolo_Osservatore 32 112
HSD_IT_BZ_Casere_di_Fuori_Osservatore 140 234.64699473064
HSD_IT_BZ_Corona_Cortaccia_Osservatore 98 150.156379192826
HSD_IT_BZ_Costalovara_Osservatore 28 39.8
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 250 710.98263531803
HSD_IT_BZ_Diga_di_Neves_Osservatore 214 477.398952803696
HSD_IT_BZ_Diga_di_Quaira_Osservatore 360 1034.08619088078
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 140 236.95744373713
HSD_IT_BZ_Diga_di_Vizze_Osservatore 100 237.494754861554
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 150 352.15420391994
HSD_IT_BZ_Favogna_di_sotto_Osservatore 130 236.3
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 53 54.5
HSD_IT_BZ_Fleres_Osservatore 54 198.8
HSD_IT_BZ_Fontana_Bianca 245 745.733714043608
HSD_IT_BZ_Fortezza_Osservatore 33 37.8
HSD_IT_BZ_Fundres_Osservatore 131 271.832156778488
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 121 380
HSD_IT_BZ_Lago_Verde_Osservatore 300 799.323475377472
HSD_IT_BZ_Lazfons_Osservatore 93 158.668811280526
HSD_IT_BZ_Longiaru_Osservatore 180 388.4
HSD_IT_BZ_Luson_Osservatore 46 155.7
HSD_IT_BZ_Maia_Alta_Osservatore 41 47.8098486238905
HSD_IT_BZ_Mazia_Osservatore 112 197.967051496924
HSD_IT_BZ_Melago_Osservatore 165 364.261182680109
HSD_IT_BZ_Meltina_Osservatore 75 177.7
HSD_IT_BZ_Molini_di_Tures_Osservatore 70 122.5
HSD_IT_BZ_Monte_Maria_Osservatore 120 207.826937125078
HSD_IT_BZ_Nova_Levante_Osservatore 40 130.6
HSD_IT_BZ_Nova_Ponente_Maso_di_sopra_Osservatore 110 277.072979830316
HSD_IT_BZ_Ora_Osservatore 22 59.2
HSD_IT_BZ_Ortisei_Osservatore 92 144.986674935428
HSD_IT_BZ_Pennes_Osservatore 159 384.104854341108
HSD_IT_BZ_Plata_Osservatore 150 353.40644678927
HSD_IT_BZ_Prato_allo_Stelvio_Osservatore 64 106.117655968769
HSD_IT_BZ_Racines_di_Dentro_Osservatore 131 306.909933879307
HSD_IT_BZ_Redagno_Osservatore 132 343.812409912959
HSD_IT_BZ_Ridanna_Osservatore 201 444.05817531559
HSD_IT_BZ_Rifiano_Beobachter 43 42.8608839600928
HSD_IT_BZ_Roia_di_Fuori_Osservatore 188 433.874512756723
HSD_IT_BZ_S_Cassiano_Osservatore 163 376.3
HSD_IT_BZ_S_Genesio_Atesino_Osservatore 90 118.8
HSD_IT_BZ_S_Leonardo_in_Passiria_Osservatore 34 39.2
HSD_IT_BZ_S_Maddalena_in_Casies_Osservatore 125 237.1
HSD_IT_BZ_S_Martino_in_Passiria_Osservatore 52 59.8434577434683
HSD_IT_BZ_S_Pancrazio_Osservatore 95 211.5
HSD_IT_BZ_S_Valentino_alla_Muta_Osservatore 175 363.922880393563
HSD_IT_BZ_S_Valpurga_d_Ultimo_Osservatore 55 96.3
HSD_IT_BZ_S_Vito_di_Braies_Osservatore 148 303.4
HSD_IT_BZ_San_Candido_Osservatore 111 258.651073735364
HSD_IT_BZ_San_Martino_Osservatore 139 306.221011026618
HSD_IT_BZ_Scena_Osservatore 45 58
HSD_IT_BZ_Sesto_Osservatore 170 386.5
HSD_IT_BZ_Silandro_Convento_Osservatore 60 93.1
HSD_IT_BZ_Slingia_Osservatore 187 369.87864168374
HSD_IT_BZ_Terento_Osservatore 49 126.7
HSD_IT_BZ_Terme_di_Brennero_Osservatore 136 371.935659993584
HSD_IT_BZ_Valles_osservatore 106 204.9
HSD_IT_BZ_Valluzza_Osservatore 140 234.366749310679
HSD_IT_BZ_Vanga_Osservatore 57 110.3
HSD_IT_BZ_Vipiteno_osservatore 57 72.603548
